#,Spacecraft,Spacewalkers,Start (UTC),End (UTC),Duration
,,"At the start of their EVA to repair torn insulation on Soyuz TM-9, Solovyev and Balandin damaged the hatch on Kvant-2 by opening it before the airlock was completely depressurized. The spacewalking team repaired the insulation on Soyuz, but time constraints required returning to Kvant-2 before they collected their tools and ladders. Unable to securely close the damaged hatch, they used the center section of Kvant-2 as a back-up airlock.[77]",,,
83,Mir PE-6 - EVA 2,"  Anatoly Solovyev
  Aleksandr Balandin","July 26, 1990
11:15","July 26, 1990
14:46",3 h 31 min
,,"Solovyev and Balandin left Mir through the damaged Kvant-2 hatch. They transmitted images of the damaged hatch to TsUP. They also recovered the ladders and tools left outside earlier. After removing debris lodged in the hinge of the airlock hatch, it was able to close and seal for repressurization.[77]",,,
84,Mir PE-7 - EVA 1,"  Gennadi Manakov
  Gennady Strekalov","29 October 1990
21:45","October 30, 1990
00:30",2 h 45 min
,,"Manakov and Strekalov exited Mir through the damaged Kvant-2 airlock hatch. After removing insulation around the hatch, the found the hatch to be more heavily damaged than previously understood. Although unable to completely repair the hatch, they added hardware to the hatch and returned to Mir.[78]",,,
85,Mir PE-8 - EVA 1,"  Viktor M. Afanasyev
  Musa Manarov","January 7, 1991
17:03","January 7, 1991
22:21",5 h 18 min
,,Afanasyev and Manarov successfully repaired the damaged hatch on the Kvant-2 airlock. The spacewalk team also positioned equipment for installation in a later EVA.[79],,,
86,Mir PE-8 - EVA 2,"  Viktor M. Afanasyev
  Musa Manarov","January 23, 1991
10:59","January 23, 1991
16:32",5 h 33 min
,,Afanasyev and Manarov exited Mir through the newly repaired hatch on Kvant-2. They then installed the new Stela boom on the base block.[79],,,
87,Mir PE-8 - EVA 3,"  Viktor M. Afanasyev
  Musa Manarov","January 26, 1991
09:00","January 26, 1991
15:20",6 h 20 min
,,Afanasyev and Manarov spent more than 6 hours installing supports on Kvant to hold the solar arrays on Kristall.[79],,,
88,STS-37 - EVA 1,"  Jerry L. Ross
  Jerome Apt","April 7, 1991,","April 7, 1991,",4 h 26 min
,,"When the boom antenna on the GRO satellite would not extend, Ross and Apt exited the shuttle on an unplanned EVA to extend the boom to prepare the satellite for its final release into orbit.[80]",,,
89,STS-37 - EVA 2,"  Jerry L. Ross
  Jerome Apt","April 8, 1991,","April 8, 1991,",5 h 47 min
,,Ross and Apt installed and tested several monorail-type mobility tools for future space station construction.[80],,,
90,Mir PE-8 - EVA 4,"  Viktor M. Afanasyev
  Musa Manarov","April 25, 1991
20:29","April 26, 1991
00:03",3 h 34 min
,,"Manarov inspected and filmed the Kurs antenna on Kvant, finding that one of the antenna dishes was missing. Then Afanasyev and Manarov re-installed the camera on Kvant-2 that they had earlier removed and repaired.[81]",,,
91,Mir PE-9 - EVA 1,"  Anatoly Artsebarsky
  Sergei Krikalev","June 24, 1991
21:11","25 June 1991
02:09",4 h 58 min
,,"Artsebarsky and Krikalev started the EVA from the Kvant-2 airlock, climbed across Mir to the opposite end, and replaced the damaged Kurs antenna. Before returning to the airlock, they also performed assembly tests on an experimental structural joint.[82]",,,
92,Mir PE-9 - EVA 2,"  Anatoly Artsebarsky
  Sergei Krikalev","June 28, 1991
19:02","June 28, 1991
22:26",3 h 24 min
,,"Artsebarski and Krikalev attached TREK,[83] a type of cosmic ray detector developed at the University of California, to the outside of Mir.[82]",,,
93,Mir PE-9 - EVA 3,"  Anatoly Artsebarsky
  Sergei Krikalev","July 15, 1991
11:45","July 15, 1991
17:41",5 h 56 min
,,"Using the Stela boom, Artsebarsky and Krikalev moved ladders and the base platform parts for the Sofora girder from the Kvant-2 airlock and installed the components on the Kvant module.[82]",,,
94,Mir PE-9 - EVA 4,"  Anatoly Artsebarsky
  Sergei Krikalev","19 July 1991
11:10","19 July 1991
16:38",5 h 28 min
,,Artsebarsky and Krikalev started construction of the Sofora girder. Three of 20 structural pieces were installed.[82],,,
95,Mir PE-9 - EVA 5,"  Anatoly Artsebarsky
  Sergei Krikalev","23 July 1991
09:15","23 July 1991
14:57",5 h 42 min
,,Artsebarsky and Krikalev continued the construction of the Sofora girder. Eleven more of the 20 girder pieces were installed.[82],,,
96,Mir PE-9 - EVA 6,"  Anatoly Artsebarsky
  Sergei Krikalev","July 27, 1991
08:44","July 27, 1991
15:33",6 h 49 min
,,"Artsebarsky and Krikalev completed assembly of the Sofora girder and the spacewalking team mounted a small Soviet flag on top of the structure. Artsebarsky had trouble with fogging on his visor, due to overexertion, but Krikalev was able to lead him back to the airlock.[82]",,,
97,Mir PE-10 - EVA 1,"  Alexander A. Volkov
  Sergei Krikalev","20 February 1992
20:09","21 February 1992
00:21",4 h 12 min
,,"Volkov and Krikalev performed maintenance activities on the outside of Mir, including cleaning camera lenses. Volkov had problems with the cooling system on his Orlan space suit, and was limited in his mobility.[84]",,,
98,STS-49 - EVA 1,"  Pierre Thuot
  Richard Hieb","10 May 1992
20:40","11 May 1992
00:23",3 h 43 min
,,"Thuot attempted to capture the Intelsat VI satellite using a capture bar carried up in Endeavour while Hieb stood by to assist with placement in the payload bay. After multiple attempts to catch Intelsat VI, the spacewalkers returned to the airlock to consider the failed attempts.[85]",,,
99,STS-49 - EVA 2,"  Pierre Thuot
  Richard Hieb","11 May 1992
21:05","12 May 1992
02:35",5 h 30 min
,,Thuot tried five more times to capture Intelsat VI while Hieb stood by to assist. Once again Thuot was unable to engage the capture bar to the satellite.[85],,,
100,STS-49 - EVA 3,"  Pierre Thuot
  Richard Hieb
  Thomas Akers","13 May 1992
21:17","14 May 1992
05:46",8 h 29 min
,,"Thuot, Hieb and Akers captured Intelsat VI with their hands. The trio then pulled the satellite into the payload bay, added a new perigee kick motor, and launched the satellite away from Endeavour. This spacewalk was the first three-person spacewalk in history. The three spacewalkers also set a new record for elapsed spacewalk time.[85]",,,
101,STS-49 - EVA 4,"  Thomas Akers
  Kathryn Thornton","14 May 1992
~21:00","15 May 1992
~04:45",7 h 44 min
,,"Akers and Thornton tested space station assembly techniques on an experimental structure, the Assembly of Station by Extravehicular Activity Methods (ASEM). The experiments with ASEM were intended to help with the design of the planned Space Station Freedom.[85]",,,
102,Mir PE-11 - EVA 1,"  Alexander Viktorenko
  Alexander Kaleri","8 July 1992
12:38","8 July 1992
14:41",2 h 03 min
,,"Viktorenko and Kaleri inspected several gyrodynes, located on the Kvant-2 module, near the airlock. Their inspection provided data needed to prepare for the planned repair and replacement work.[86]",,,
103,Mir PE-12 - EVA 1,"  Sergei Avdeyev
  Anatoly Solovyev","3 September 1992
13:32","3 September 1992
17:28",3 h 56 min
,,Avdeyev and Solvyev moved the VDU thruster unit and prepared the Sofora girder for installation of the VDU.[87],,,
104,Mir PE-12 - EVA 2,"  Sergei Avdeyev
  Anatoly Solovyev","7 September 1992
11:47","7 September 1992
16:55",5 h 08 min
,,"Avdeyev and Solvyev installed the electrical and control cables needed by the VDU thruster for operation on the Sofora truss. They also recovered the Soviet flag installed on the Sofora truss the year before, which had been destroyed by UV radiation and micrometeoroids.[87]",,,
105,Mir PE-12 - EVA 3,"  Sergei Avdeyev
  Anatoly Solovyev","11 September 1992
10:06","11 September 1992
15:50",5 h 44 min
,,"Avdeyev and Solvyev completed install of the VDU thruster on Sofora truss, and moved the truss into its extended position.[87]",,,
106,Mir PE-12 - EVA 4,"  Sergei Avdeyev
  Anatoly Solovyev","15 September 1992
07:49","15 September 1992
11:22",3 h 33 min
,,Avdeyev and Solvyev collected samples of a solar array and relocated the Kurs docking antenna on the Kristall module in preparation for the arrival of Soyuz TM-16.[87],,,
107,STS-54 - EVA 1,"  Gregory Harbaugh
  Mario Runco",01/17/93,01/17/93,4 h 28 min
,,"Harbaugh and Runco tested space station construction techniques and mobility techniques. They proved that some techniques were useful, and some were not.[88]",,,
108,Mir PE-13 - EVA 1,"  Gennadi Manakov
  Alexander Poleshchuk","19 April 1993
17:15","19 April 1993
22:40",5 h 25 min
,,"Manakov and Poleshchuk used the Strela boom to install an electric motor on the Kvant module for solar arrays originally installed on the Kristall module. After the installation, Poleshchuk noticed that one of the handles on the Strela boom had become loose and drifted away from Mir. The loss of the Strela handle meant the next EVA would have to be delayed until a new handle could be lifted to orbit the next Progress supply launch.[89]",,,
109,Mir PE-13 - EVA 2,"  Gennadi Manakov
  Alexander Poleshchuk","18 June 1993
17:25","18 June 1993
21:58",4 h 33 min
,,"After receiving the replacement part, Manakov and Poleshchuk first repaired the Strela boom and then installed the second electric drive for the solar array.[89]",,,
110,STS-57 - EVA 1,"  G. David Low
  Peter Wisoff","25 June 1993,","25 June 1993,",5 h 50 min
,,Low and Wisoff helped secure the antenna on the captured EURECA satellite in its stored position for return to Earth. Then both spacewalkers practiced space station construction maneuvers on the RMS.[90],,,
111,Mir PE-14 - EVA 1,"  Vasili Tsibliyev
  Aleksandr Serebrov","16 September 1993
05:57","16 September 1993
10:16",4 h 18 min
,,Tsibliyev and Serebrov began assembly of the experimental Rapana truss structure.[91],,,
112,STS-51 - EVA 1,"  James H. Newman
  Carl Walz","16 September 1993
08:40","16 September 1993
15:45",7 h 05 min
,,"Newman and Walz carried out tests on tools, tethers, and a foot restraint system in anticipation of the repair of the Hubble Space Telescope. A stuck tool chest lid slowed the closeout of spacewalk for at least 45 minutes.[92]",,,
113,Mir PE-14 - EVA 2,"  Vasili Tsibliyev
  Aleksandr Serebrov","20 September 1993
03:51:50","20 September 1993
07:05:40",3 h 13 min
,,"Tsibliyev and Serebrov completed the assembly of the Rapana truss. The experience gained from the construction of the truss was later used in future station designs, such as the International Space Station.[91]",,,
114,Mir PE-14 - EVA 3,"  Vasili Tsibliyev
  Aleksandr Serebrov","28 September 1993
00:57","28 September 1993
02:48",1 h 52 min
,,Tsibliyev and Serebrov inspected Mir's exterior for damage from the recent Perseid meteoroid shower. The most notable damage they found was a 5-millimetre (0.20 in) hole in one of the solar arrays.[91],,,
115,Mir PE-14 - EVA 4,"  Vasili Tsibliyev
  Aleksandr Serebrov","22 October 1993
15:47","22 October 1993
16:25",0 h 38 min
,,Tsibliyev and Serebrov continued their inspection of Mir from damage from the Perseids.[91],,,
116,Mir PE-14 - EVA 5,"  Vasili Tsibliyev
  Aleksandr Serebrov","29 October 1993
13:38","29 October 1993
17:50",4 h 12 min
,,"Tsibliyev and Serebrov completed their inspection of the entire exterior of Mir. They observed several marks on the hull, but there were no complete penetrations. However, the spacewalking team noticed an unidentified piece of metal drifting by the station during their inspections.[91]",,,
117,STS-61 - EVA 1,"  Story Musgrave
  Jeffrey Hoffman","5 December 1993
03:44","5 December 1993
11:38",7 h 54 min
,,"Musgrave and Hoffman replaced two sets of gyroscopes and electrical control units, as well as a set of 8 fuses on Hubble. The spacewalkers had considerable difficulty closing the latches on the gyro doors, probably due to thermal expansion of the closure bolts. Working closely with engineers on the ground, the team was able to force the door to latch closed. Before re-entering the shuttle, they prepared the payload bay for the next EVA.[93]",,,
118,STS-61 - EVA 2,"  Kathryn C. Thornton
  Thomas Akers","6 December 1993
03:29","6 December 1993
10:05",6 h 36 min
,,"Thorton rode the RMS to handle the solar arrays while Akers made the cable connections as the team replaced two solar arrays on the Hubble. One array was discarded into space, and one array was furled and stowed for return to Earth.[93]",,,
119,STS-61 - EVA 3,"  Story Musgrave
  Jeffrey Hoffman","7 December 1993
03:35","7 December 1993
10:22",6 h 47 min
,,Musgrave and Hoffman replaced the Hubble WFPC with WFPC 2. They also replaced two magnetometers before returning to Endeavour.[93],,,
120,STS-61 - EVA 4,"  Kathryn C. Thornton
  Thomas Akers","8 December 1993
03:13","8 December 1993
10:03",7 h 21 min
,,Thornton and Akers replaced Hubble's High Speed Photometer (HSP) with the Corrective Optics Space Telescope Axial Replacement (COSTAR). This replacement corrected the spherical aberration in Hubble's mirror. The HSP was stowed for return to Earth.[93],,,
121,STS-61 - EVA 5,"  Story Musgrave
  Jeffrey Hoffman","9 December 1993
03:30","9 December 1993
10:51",7 h 21 min
,,Musgrave and Hoffman replaced the electronics for the solar array drive motors. They also placed some improvised covers over the new magnetometers to protect them from debris.[93],,,
122,Mir PE-16 - EVA 1,"  Yuri Malenchenko
  Talgat Musabayev","9 September 1994
07:00","9 September 1994
12:06",5 h 04 min
,,Malenchenko and Musabayev inspected a docking port on Kvant-2 for damage from a collision with Progress M-24.[94] They also inspected the Kristall module for damage from a collision with Soyuz TM-17 and repaired that module near where it connected to the base block of Mir.[95],,,
123,Mir PE-16 - EVA 2,"  Yuri Malenchenko
  Talgat Musabayev","13 September 1994
06:30","13 September 1994
12:32",6 h 01 min
,,Malenchenko and Musabayev continued construction work in preparation of moving solar arrays from the Kristall module to the Kvant-2 module.[96],,,
124,STS-64 - EVA 1,"  Mark C. Lee
  Carl Meade","16 September 1994
14:42","16 September 1994
21:33",6 h 51 min
,,Lee and Meade carried out successful untethered tests of the SAFER EVA rescue device.[97],,,
125,STS-63 - EVA 1,"  Michael Foale
  Bernard Harris","9 February 1995
11:56","9 February 1995
16:35",4 h 39 min
,,Foale and Harris conducted a test of moving large mass objects. They also tested the effectiveness of new spacesuit temperature control underwear by being lofted outside the payload bay by the RMS.[98] Harris was the first African-American to perform an EVA.,,,
126,Mir PE-18 - EVA 1,"  Vladimir N. Dezhurov
  Gennady Strekalov","12 May 1995
04:20:44","12 May 1995
10:35:16",6 h 14 min 32 s
,,"Dezhurov and Strekalov made preparations for the arrival of the Spektr module. They installed some electrical cable attachements, adjusted solar array actuators, and practiced folding the Kristall solar arrays for the future move to Kvant.[99]",,,
127,Mir PE-18 - EVA 2,"  Vladimir N. Dezhurov
  Gennady Strekalov","17 May 1995
02:38","17 May 1995
09:20",6 h 52 min
,,Dezhurov and Strekalov moved the solar arrays from Kristall to Kvant. Their suits ran low on oxygen before they were able to re-install the arrays on Kvant. They secured the arrays and tools to Kvant and returned to Mir.[99],,,
128,Mir PE-18 - EVA 3,"  Vladimir N. Dezhurov
  Gennady Strekalov","22 May 1995
00:10:20","22 May 1995
05:25:11",5 h 14 min 51 s
,,Dezhurov and Strekalov completed installation of the relocated solar array on Kvant. They also retracted some solar panels to prepare for moving Kristall.[99],,,
129,Mir PE-18 - EVA 4,"  Vladimir N. Dezhurov
  Gennady Strekalov","28 May 1995
22:22","28 May 1995
22:43",0 h 21 min
,,"Conducting a spacewalk inside the transfer compartment of the Mir base block, Dezhurov and Strekalov relocated the docking cone from the -X port to the -Z port.[100]",,,
130,Mir PE-18 - EVA 5,"  Vladimir N. Dezhurov
  Gennady Strekalov","1 June 1995
22:05:30","1 June 1995
22:28:20",0 h 23 min 50 s
,,"Again working from the depressurized base block transfer compartment, Dezhurov and Strekalov prepared to move the recently arrived Spektr module by relocating the docking cone from the -Z port to the -Y port.[101]",,,
131,Mir PE-19 - EVA 1,"  Anatoly Solovyev
  Nikolai Budarin","14 July 1995
03:56","14 July 1995
09:30",5 h 34 min
,,Solovyev and Budarin used the Strela boom to move to the Spektr module and freed the stuck solar array. They also inspected the -Z docking port and found it to be undamaged.[102],,,
132,Mir PE-19 - EVA 2,"  Anatoly Solovyev
  Nikolai Budarin","19 July 1995
00:39","19 July 1995
03:47",3 h 08 min
,,"Solovyev had problems with his Orlan-DMA spacesuit cooling system, and had to stay tethered to an umbilical at Kvant-2. Budarin was able work his way to the far end of Spektr and do some preparations for the installation of the Mir infrared spectrometer (MIRAS). He also collected the American TREK cosmic ray panel that had been installed on Kvant-2 since 1991.[103]",,,
133,Mir PE-19 - EVA 3,"  Anatoly Solovyev
  Nikolai Budarin","21 July 1995
00:28","21 July 1995
06:18",5 h 35 min
,,"Solovyev and Budarin used the Strela boom to reach the Spektr module, where they completed the installation of MIRAS.[104]",,,
134,STS-69 - EVA 1,"  James S. Voss
  Michael Gernhardt","16 September 1995
08:20","16 September 1995
15:06",6 h 46 min
,,Voss and Gernhardt installed thermal instruments in the payload bay of Endeavour and tested construction techniques in support of the International Space Station. They also tested redesigned spacesuit helmet lights and spacesuit heaters.[105],,,
135,Mir PE-20 - EVA 1,"  Sergei Avdeyev
  Thomas Reiter","20 October 1995
11:50","20 October 1995
17:06",5 h 16 min
,,Reiter completed the first European Space Agency EVA. Avdeyev and Reiter used the Strela boom to move to the Spektr module. Afterwards they installed several experiments on the European Space Exposure Facility before returning to the airlock.[106],,,
136,Mir PE-20 - EVA 2,"  Sergei Avdeyev
  Yuri Gidzenko","8 December 1995
19:23","8 December 1995
19:52",0 h 37 min
,,"From inside the depressurized base block transfer compartment, Avdeyev and Gidzenko moved the Konus docking cone from the -Z port to the +Z port.[107]",,,
137,STS-72 - EVA 1,"  Leroy Chiao
  Daniel Barry","15 January 1996
05:35","15 January 1996
11:44",6 h 09 min
,,"Chiao and Barry practiced construction techniques for the upcoming International Space Station. Their activities included installing a cable tray, hooking up cables and fluid lines, handling small screws and bolts, and grappling large objects at the end of the RMS.[108]",,,
138,STS-72 - EVA 2,"  Leroy Chiao
  Winston E. Scott","17 January 1996
05:40","17 January 1996
12:34",6 h 53 min
,,"Chiao and Scott continued testing of construction techniques. They worked with utility boxes, slidewires and a portable work station attached to the RMS. Scott also tested the heating capabilities of his spacesuit by riding the RMS during the night while Endeavour’s payload bay was oriented toward space.[109]",,,
139,Mir PE-20 - EVA 3,"  Thomas Reiter
  Yuri Gidzenko","8 February 1996
14:03","8 February 1996
17:08",3 h 06 min
,,Reiter and Gidzenko moved a YMK maneuvering unit from the Kvant-2 airlock and secured it on the module's exterior. They then collected experiments deployed earlier on the ESEF. The team was unable to remove an antenna from Kristall when they were unable to loosen some bolts on the antenna.[110],,,
140,Mir PE-21 - EVA 1,"  Yuri Onufriyenko
  Yury Usachev","15 March 1996
01:04","15 March 1996
06:55",5 h 51 min
,,"To improve access to the outside of the Kristall module, Onufriyenko and Usachev installed a second Strela boom on the Mir base block. The team also prepared cables and connectors for the future installation of the Mir Cooperative Solar Array.[111]",,,
141,STS-76/MirPE-21,"  Michael R. Clifford
  Linda Godwin","27 March 1996
06:34","27 March 1996
12:36",6 h 02 min
,,"Godwin and Clifford added four canisters of experiments, called the Mir Environmental Effects Payload (MEEP), to the outside of the Mir docking module. They also tested new tethers and foot restraints for future use on Mir and the upcoming International Space Station.[112]",,,
142,Mir PE-21 - EVA 2,"  Yuri Onufriyenko
  Yury Usachev","20 May 1996
22:50","21 May 1996
04:10",5 h 20 min
,,"Onufriyenko and Usachev moved the Mir Cooperative Solar Array (MCSA) from its stowage position on Kristal to a final location on Kvant, and prepared the array for complete deployment. They also released a balloon shaped like a large Pepsi can, and filmed it for a television commercial.[113]",,,
143,Mir PE-21 - EVA 3,"  Yuri Onufriyenko
  Yury Usachev","24 May 1996
20:47","25 May 1996
02:30",5 h 34 min
,,Onufriyenko and Usachev completed deployment of the Mir Cooperative Solar Array (MCSA) on the Kvant module.[113],,,
144,Mir PE-21 - EVA 4,"  Yuri Onufriyenko
  Yury Usachev","30 May 1996
18:20","30 May 1996
22:40",4 h 20 min
,,Onufriyenko and Usachev installed the German-made Modular Optoelectronic Multispectral Scanner (MOMS) camera to the exterior of the Priroda module. They also installed a new handrail on the exterior of Kvant-2 to aid future spacewalks.[113],,,
145,Mir PE-21 - EVA 5,"  Yuri Onufriyenko
  Yury Usachev","6 June 1996
16:56","6 June 1996
20:30",3 h 34 min
,,Onufriyenko and Usachev installed two American micrometeoroid detector experiments to the exterior of Kvant-2. The team also replaced a data cassette for the Komza experiment of the surface of Spektr.[113],,,
146,Mir PE-21 - EVA 6,"  Yuri Onufriyenko
  Yury Usachev","13 June 1996
12:45","13 June 1996
18:27",5 h 42 min
,,Onufriyenko and Usachev installed the Rapana girder to the exterior of Kvant in anticipation of mounting future experiments to the girder. They also manually deployed the Travers radar on the surface of Priroda.[113],,,
147,Mir PE-22 - EVA 1,"  Valery Korzun
  Alexander Kaleri","2 December 1996
15:54","2 December 1996
21:52",5 h 57 min
,,Korzun and Kaleri successfully connected electrical cables to the surface-mounted solar panels installed on Kvant.[114],,,
148,Mir PE-22 - EVA 2,"  Valery Korzun
  Alexander Kaleri","9 December 1996
13:50","9 December 1996
20:28",6 h 36 min
,,Korzun and Kaleri completed the construction of the Rapana truss structure and then installed the Kurs docking antenna. They also fixed an amateur radio antenna that had loosened.[115],,,
149,STS-82 - EVA 1,"  Mark C. Lee
  Steven Smith","14 February 1997
04:34","14 February 1997
11:16",6 h 42 min
,,Lee and Smith accessed Hubble from its aft shroud doors. The spacewalkers swapped out the Goddard High Resolution Spectrograph (GHRS) for the Near Infrared Camera and Multi-Object Spectrometer and replaced the Faint Object Spectrograph (FOS) with the Space Telescope Imaging Spectrograph. They closed out the EVA by closing the aft shroud doors and stowing the GHRS and FOS for return to Earth.[116],,,
150,STS-82 - EVA 2,"  Gregory J. Harbaugh
  Joseph R. Tanner","15 February 1997
03:25","15 February 1997
10:52",7 h 27 min
,,"Harbaugh and Tanner replaced the Fine Guidance Sensor and an Engineering and Science Tape Recorder with spare replacement units on Hubble. They also installed a new hardware piece, the Optical Control Electronics Enhancement Kit.[117]",,,
151,STS-82 - EVA 3,"  Mark C. Lee
  Steven Smith","16 February 1997
02:53","16 February 1997
10:04",7 h 11 min
,,Lee and Smith completed the third spacewalk of the second Hubble repair mission by replacing a Data Interface Unit with a spare unit and replacing a reel-to-reel tape drive Engineering and Science Tape Recorder with a solid-state version. They also replaced one of the four Reaction Wheel Assembly units that helped point the telescope at targets.[118],,,
152,STS-82 - EVA 4,"  Gregory J. Harbaugh
  Joseph R. Tanner","17 February 1997
03:45","17 February 1997
10:19",6 h 34 min
,,"Harbaugh and Tanner continued their Hubble repair mission by replacing the Solar Array Drive Electronics package with a spare. Then they climbed to the top of the telescope where they replaced the covers of the satellite's magnetometers. Before they finished their spacewalk, Harbaugh and Tanner installed thermal blankets over areas of degraded insulation.[119]",,,
153,STS-82 - EVA 5,"  Mark C. Lee
  Steven Smith","18 February 1997
03:15","18 February 1997
08:32",5 h 17 min
,,Lee and Smith completed the repair work on Hubble by installing more thermal insulation on three more areas that had undergone degradation.[120],,,
154,Mir PE-23 - EVA 1,"  Vasily Tsibliyev
  Jerry Linenger","29 April 1997
05:10","29 April 1997
10:09",4 h 59 min
,,"The spacewalk by Tsibliyev and Linenger marked the first use of the new Orlan-M space suit. Their first task was to install the Optical Properties Monitor (OPM) on the exterior of the Kristall docking module. Then the spacewalkers used the Strela crane to move to the Kvant-2 module. At Kvant-2 they retrieved two American experiments, the Partial Impact Experiment (PIE) and the Mir Sample Experiment (MSE), from Kvant-2's hull, and installed the Benton Radiation Dosimeter on Kvant-2.[121]",,,
155,Mir PE-24 - EVA 1,"  Anatoly Solovyev
  Pavel Vinogradov","22 August 1997
11:14","22 August 1997
14:30",3 h 16 min
,,"Solovyev and Vinogradov conducted an internal EVA to inspect the damaged Spektr module, which had been struck by the out-of-control Progress M-34spacecraft. They were successful in reconnecting power cabling to Spektr's solar arrays, thus restoring part of the power lost in the collision. Although the spacewalkers were able to recover equipment and supplies from the module, they were not able to find the puncture hole.[122]",,,
156,Mir PE-24 - EVA 2,"  Anatoly Solovyev
  Michael Foale","6 September 1997
01:07","6 September 1997
07:07",6 h 00 min
,,"Solovyev rode the Strela crane to Spektr to inspect it for damage. Foale operated the Strela from the Mir base block. Although Solovyev made an extensive documentation and search of Spektr, he was unable to find the hole created by the runaway Progress M-34 spacecraft. Before he returned to the airlock, Foale collected the radiation dosimeter installed outside earlier.[123] Foale became the first person to conduct EVAs in both American and Russian spacesuits.[124]",,,
157,STS-86 - EVA 1,"  Scott Parazynski
  Vladimir Titov",10/01/97,10/01/97,5 h 01 min
,,"Parazynski and Titov retrieved the four Mir Environmental Effects Packages (MEEP) from the docking module surface. They also installed the Solar Array Cap to the docking module, to be used to plug the hole in the Spektr module on a future EVA. To close out the EVA, the spacewalkers tested the Simplified Aid for EVA Rescue (SAFER) jet packs.[125]",,,
158,Mir PE-24 - EVA 3,"  Anatoly Solovyev
  Pavel Vinogradov","20 October 1997
09:40","20 October 1997
16:18",6 h 38 min
,,"Solovyev and Vinogradov ventured inside the depressurized Spektr in an attempt to install three control cables between the solar array servo motors to the special adapter plate that seals Spektr from the rest of Mir. After cleaning up some of the debris and loose items in Spektr, Solovyev was able to connect the three cables to the servos. But even after an effort that extended into the emergency oxygen supply of the Orlan space suits, Solovyev was only able to connect two of the cables to the adapter plate.[126]",,,
159,Mir PE-24 - EVA 4,"  Anatoly Solovyev
  Pavel Vinogradov","3 November 1997
03:32","3 November 1997
09:36",6 h 04 min
,,Solovyev and Vinogradov released a mini-satellite into orbit. The spacewalkers then dismantled an old solar panel on Kvant. They stowed the panel on the outside of the Mir base block.[127],,,
160,Mir PE-24 - EVA 5,"  Anatoly Solovyev
  Pavel Vinogradov","6 November 1997
00:12","6 November 1997
06:24",6 h 12 min
,,Solovyev and Vinogradov installed a new solar array on Kvant to replace the panel removed on their previous spacewalk.[128],,,
161,STS-87 - EVA 1,"  Winston E. Scott
 Takao Doi","25 November 1997
00:02","25 November 1997
07:45",7 h 43 min
,,"Scott and Doi captured the Spartan satellite by hand and secured it in the payload bay. Then the spacewalking team set up and tested a crane that would be used to construct the International Space Station. Doi was the first Japanese astronaut to perform an EVA, and the first EVA performed from Space ShuttleColumbia.[129]",,,
162,STS-87 - EVA 2,"  Winston E. Scott
 Takao Doi","3 December 1997
09:09","3 December 1997
14:09",4 h 59 min
,,"An extra spacewalk for Scott and Doi was added to the schedule to conduct more testing and evaluation of the crane in Columbia's payload bay. They repeated many of the same crane motion tests with smaller objects than in the earlier walk. During the EVA, a small free-flying video camera was deployed to record the work.[130]",,,
163,Mir PE-24 - EVA 6,"  Anatoly Solovyev
  Pavel Vinogradov","8 January 1998
23:08","9 January 1998
02:14",3 h 06 min
,,"When the spacewalk began, Solovyev and Vinogradov had only planned to inspect and film the damaged airlock sealing system, but the inspection showed that repairs could be made on-the-spot. After completing the repair, the spacewalking team used the Strela boom to move across Mir and recover the American optical monitoring experiment. Before closing out the spacewalk, the team also checked the integrity of cable connections to several antennas.[131]",,,
164,Mir PE-24 - EVA 7,"  Anatoly Solovyev
  David Wolf","14 January 1998
21:12","14 January 1998
01:04",3 h 52 min
,,"Solovyev continued to make repairs to the airlock hatch on Kvant-2. Wolf used a handheld photo-reflectometer to inspect the exterior surface of Mir. Solovyev spent some time supervising the actions of Wolf, as the latter had never performed an EVA before. The airlock pressure check made after the spacewalk showed that Solovyev's repairs were effective.[132]",,,
165,Mir PE-25 - EVA 1,"  Talgat Musabayev
  Nikolai Budarin","1 April 1998
13:35","1 April 1998
20:15",6 h 40 min
,,"In preparation for the repair of the damaged solar array, Musabayev and Budarin installed a set of handrails and one of two foot restraints on the outside of theSpektr module.[133]",,,
166,Mir PE-25 - EVA 2,"  Talgat Musabayev
  Nikolai Budarin","6 April 1998
13:35","6 April 1998
17:50",4 h 15 min
,,"Musabayev and Budarin set out to repair a damaged solar panel on the Spektr module. After installing a splint on the frayed panel, they had to quickly return to the airlock to handle a problem with the station's attitude control.[134]",,,
167,Mir PE-25 - EVA 3,"  Talgat Musabayev
  Nikolai Budarin","11 April 1998
09:55","11 April 1998
16:20",6 h 25 min
,,Musabayev and Budarin removed and pushed off the external thruster engine (VDU) that had been located at the top of the Sofora boom. The team also recovered an experiment from the Rapana structure.[135] The original plan to dismantle the Rapana structure was not completed and the structure remained in place.[136],,,
168,Mir PE-25 - EVA 4,"  Talgat Musabayev
  Nikolai Budarin","17 April 1998
07:40","17 April 1998
14:13",6 h 33 min
,,Musabayev and Budarin removed two structures and secured them to exterior surfaces. They then repositioned the new thrust engine (VDU) for future use.[136],,,
169,Mir PE-25 - EVA 5,"  Talgat Musabayev
  Nikolai Budarin","22 April 1998
05:34","22 April 1998
11:55",6 h 21 min
,,Musabayev and Budarin completed installation of the new VDU thruster unit on top of the Sofora boom.[137],,,
