marshall space flight center :368
development and testing of :10
development and operation of :10
detonating grenades and recording :10
deputy director of nasa :10
dept of defense and :10
day earlier in this :10
david r scott james :10
data were obtained from :10
data relay satellite system :10
daniel and florence guggenheim :10
contract for development of :10
contract for design development :10
consultant to nasa administrator :10
comsat launched by nasa :10
compiled from open sources :10
committee on appropriationsâ€™ subcommittee :10
co and lockheed aircraft :10
churchill research range carrying :10
chance to exercise its :10
center under the direction :10
categories have been used :10
c mcmurtry successfully completed :10
by univ of california :10
by the univ of :10
by secretary of the :10
by north american rockwell :10
by national academy of :10
by nasa marshall space :10
by nasa dept of :10
by johns hopkins univ :10
by dr george m :10
by detonating grenades and :10
by apollo 11 astronauts :10
bureau of the budget :10
british overseas airways corp :10
braun nasa deputy associate :10
both the launch vehicle :10
borman james a lovell :10
bill was referred to :10
benefit of all mankind :10
bendix field engineering corp :10
because of lack of :10
be the first to :10
be in operation by :10
b irwin and alfred :10
away from the sun :10
at the white house :10
at jackass flats nev :10
at green bank w :10
at about the same :10
at a time when :10
astronaut frank borman and :10
astronaut edward h white :10
associate administrator for planning :10
assistant director for flight :10
as head of the :10
as consultant to nasa :10
as assistant administrator for :10
as a source of :10
are one day earlier :10
apollo manned lunar landing :10
apollo 13 review board :10
apogee motor was fired :10
annual meeting and technical :10
anniversary of the bolshevik :10
and work in space :10
and were expected to :10
and univ of california :10
and to summarize total :10
and the univ of :10
and the united kingdom :10
and space technology magazine :10
and roger b chaffee :10
and recording their sound :10
and other federal agencies :10
and jack r lousma :10
and information systems div :10
and fred w haise :10
and donald k slayton :10
and development of a :10
and could be used :10
and built by the :10
and atmospheric administration and :10
and aeronautics 1976 july :10
and aeronautics 1976 december :10
and aeronautics 1973 september :10
and aeronautics 1972 november :10
and aeronautics 1972 june :10
and aeronautics 1970 march :10
and aeronautics 1970 january :10
and aeronautics 1969 may :10
and aeronautics 1968 june :10
and aeronautics 1968 february :10
and aeronautics 1968 april :10
an asterisk by the :10
an altitude of about :10
all over the world :10
all onboard equipment was :10
alfred m worden and :10
aircraft was announced by :10
aircraft equipped with supercritical :10
air force eastern test :10
air force and space :10
ahead of us in :10
aeronautics and space activities :10
aeronautics and astronautics and :10
advanced manned strategic aircraft :10
administrator for aeronautics and :10
administrator dr james c :10
acting director of the :10
act of 1958 to :10
acad emy of sciences :10
a â€œsatellites space probes :10
a thoragena d booster :10
a system of longrange :10
a spokesman for the :10
a s a release :10
a orbited b as :10
a new generation of :10
a model of the :10
a manned space flight :10
a chance to exercise :10
a black brant vc :10
65 astronautics and aeronautics :10
3 ussr launched cosmos :10
3 flown by nasa :10
19 ussr launched cosmos :10
17 astronauts eugene a :10
150 launched from wsmr :10
∞nasa announced the appointment :9
∞nasa announced that the :9
∞ usaf successfully launched :9
∞ usaf launched an :9
∞ sen william proxmire :9
∞ president johnson announced :9
∞ nasa successfully launched :9
∞ nasa niketomahawk sounding :9
∞ nasa lewis research :9
∞ nasa launched series :9
∞ nasa langley research :9
∞ nasa deputy administrator :9
∞ dr robert c :9
∞ army corps of :9
∞ apollo 12 astronauts :9
years of goddard space :9
x15 no 3 to :9
would report to the :9
would remain in orbit :9
would help provide a :9
would be transmitted to :9
would be presented to :9
would be limited to :9
would be launched with :9
would be included in :9
would be fired to :9
would be expected to :9
would be correlated with :9
would be coordinated with :9
would be assigned to :9
with the help of :9
with the aid of :9
with an apogee of :9
william h dana flew :9
whitney div united aircraft :9
which could be used :9
which are referenced to :9
western union telegraph co :9
week space technology editorial :9
washington evening star said :9
washington dc press conference :9
was turned over to :9
was to be launched :9
was third in series :9
was responsible for the :9
was responsible for apollo :9
was reported by dr :9
was referred to senate :9
was held at manned :9
was flown by nasa :9
was expected to exceed :9
was compiled from open :9
was announced by manned :9
wallops island va to :9
walk on the moon :9
von braun msfc director :9
vehicle malfunctions did not :9
vehicle and ksc for :9
vc sounding rocket from :9
ussrâ€™s lunokhod 1 lunar :9
use of the space :9
usafâ€™s manned orbiting laboratory :9
usaf x24a liftingbody vehicle :9
usaf launched atlasagena d :9
usaf cambridge research laboratories :9
us supersonic transport program :9
us and soviet scientists :9
us aeron space act :9
univ of illinois and :9
united aircraft corpâ€™s pratt :9
un committee on peaceful :9
two nikecajun sounding rockets :9
two and one half :9
turn out to be :9
transmit soviet central tv :9
transition from wintertime westerly :9
tracking and telemetry support :9
total manhours in space :9
told the press in :9
to the orbita network :9
to the moon or :9
to the advancement of :9
to north american aviation :9
to meet the needs :9
to mcdonnell douglas corp :9
to learn more about :9
to go to the :9
to do the job :9
to develop and produce :9
to carry out a :9
to be the first :9
to be completed in :9
to award of a :9
to a depth of :9
times that of the :9
through the use of :9
thoragena d launch vehicle :9
they ignore the fact :9
there would be a :9
their sound arrivals on :9
the weight of the :9
the us supersonic transport :9
the univ of calif :9
the u s would :9
the terms of the :9
the surface of venus :9
the start of the :9
the space shuttle had :9
the solar wind and :9
the skylab 1 orbital :9
the satellites would be :9
the satellite reentered oct :9
the satellite had been :9
the quiet sun iqsy :9
the question of whether :9
the president and the :9
the plane of the :9
the other hand the :9
the nationâ€™s space program :9
the national space technology :9
the national space club :9
the national research council :9
the national bureau of :9
the nasa distinguished service :9
the mission was to :9
the michoud assembly facility :9
the meeting of the :9
the lunar roving vehicle :9
the lewis research center :9
the launch of a :9
the langley research center :9
the jan 27 apollo :9
the gross national product :9
the flight of the :9
the first time since :9
the first space shuttle :9
the establishment of a :9
the entire nasa historical :9
the end of 1978 :9
the development of new :9
the date marks those :9
the date marks dates :9
the data would be :9
the creation of a :9
the cost of a :9
the communications satellite corp :9
the civil aeronautics board :9
the chronology for some :9
the boeing co and :9
the board of governors :9
the apogee kick motor :9
the american astronautical society :9
the air force in :9
that there would be :9
that there was no :9
that the moon was :9
that the air force :9
than that of the :9
tests of the space :9
tests had shown that :9
testified before senate committee :9
test objectives were achieved :9
telemetered to ground stations :9
telegraph radio communications in :9
tabulation was compiled from :9
system would consist of :9
system was expected to :9
system of longrange telephone :9
successfully launched from etr :9
study the effects of :9
standard div of united :9
stage failed to ignite :9
sr list ∞ nasa :9
spacecraft scheduled for launch :9
space research and technology :9
space report of the :9
space program in the :9
space program had been :9
space flights a chronicle :9
space flight dale d :9
space flight center would :9
space flight center public :9
space flight center engineers :9
space electric rocket test :9
space center announced it :9
space and aeronautical science :9
soviet union and the :9
soviet communist party general :9
soviet central tv programs :9
southwest center for advanced :9
sounding rockets etc or :9
similar to those on :9
shuttle in the 1980s :9
series was to obtain :9
september astronautics and aeronautics :9
senate committee on government :9
senate by vote of :9
see western test range :9
see ames research center :9
secretary of state for :9
second in a series :9
scientists and engineers from :9
scientific and tech nical :9
scientific and industrial research :9
science and technology for :9
scheduled for launch from :9
scheduled for launch by :9
saturn v 1st stage :9
saturn i launch vehicle :9
satisfactorily and payload was :9
satellite was successfully launched :9
satellite was launched from :9
satellite act of 1962 :9
said to have been :9
said it would be :9
said in washington dc :9
rpt of s rkt :9
rockets would be launched :9
rockets etc or c :9
rocketdyne div of north :9
rocket performed satisfactorily but :9
rocket launched from ft :9
returned to earth with :9
rest of the world :9
research range carried univ :9
research center would be :9
research and technology programs :9
research and devel opment :9
request for proposals for :9
report to the congress :9
rep james g fulton :9
rendezvous and dock with :9
remotely piloted research vehicle :9
release 7 2 4 :9
referenced to greenwich mean :9
referenced in the index :9
reduce the number of :9
reached a speed of :9
rd scientists and engineers :9
radiation from the sun :9
purpose of the flight :9
public information releases of :9
provide a system of :9
projects gemini and apollo :9
professor of physics at :9
probes from sounding rockets :9
probes ascended to at :9
press in washington dc :9
president nixon signed hr :9
president nixon sent message :9
president nixon issued statement :9
president joseph v charyk :9
president dwight d eisenhower :9
pres rep 1967 ∞ :9
period of maximum solar :9
perigee 886min period and :9
performed satisfactorily and good :9
participated in two flights :9
part of the space :9
paine nasa administrator said :9
p o s t :9
over a period of :9
orbital parameters were apogee :9
orbit around the sun :9
one entered orbit with :9
on the sun and :9
on scientific and technical :9
of which would be :9
of the supersonic transport :9
of the space craft :9
of the smithsonian astrophysical :9
of the order of :9
of the new york :9
of the national advisory :9
of the gross national :9
of scientific and technological :9
of saturn ib and :9
of research and technology :9
of our space program :9
of our national space :9
of new york at :9
of more than 100 :9
of mission was to :9
of maximum solar activity :9
of lunar surface and :9
of launch vehicle and :9
of johns hopkins univ :9
of jet propulsion laboratory :9
of congress congressional research :9
of biotechnology and human :9
of apollo telescope mount :9
of aecnasa space nuclear :9
of a manned lunar :9
october astronautics and aeronautics :9
ocean a history of :9
obtain temperature pressure density :9
objectives were to place :9
north america and europe :9
nixon announced intention to :9
nations of the world :9
national space technology laboratories :9
national science foundation reported :9
nasc executive secretary dr :9
nasaâ€™s office of manned :9
nasaâ€™s m2f3 lifting body :9
nasaâ€™s hl10 liftingbody vehicle :9
nasaâ€™s g l o :9
nasaâ€™s distinguished service medal :9
nasaâ€™s associate administrator for :9
nasaaec space nuclear propulsion :9
nasa from wsmr with :9
nasa from churchill re :9
nasa deputy director of :9
nasa deputy assistant administrator :9
nasa announced it was :9
nasa and other agencies :9
mururoa atoll in the :9
multiple docking adapter mda :9
msc director of medical :9
motor was fired at :9
more than a year :9
moon nov 17 1970 :9
moon and other celestial :9
missile and space div :9
ministry for scientific research :9
million mi from the :9
mi from the launch :9
memorandum of under standing :9
meeting and technical display :9
meet the needs of :9
mcdonnell douglas corp for :9
massachusetts institute of tech :9
mariner 11 venus probe :9
manned spacecraft center was :9
manned spacecraft center had :9
manned spacecraft center director :9
manned space flight nasa :9
manned space flight including :9
manned landing on the :9
manned flights all in :9
manhours in space were :9
maj michael j adams :9
magnetic lines of force :9
m low deputy administrator :9
luna 17 nov 17 :9
low acting nasa administrator :9
lovell jr and william :9
longrange telephone and telegraph :9
listings which are referenced :9
liquid hydrogen and liquid :9
lewis research center and :9
lcol usaf and charles :9
launched two nikecajun sounding :9
launched niketomahawk sounding rocket :9
launched nikeapache sounding rocket :9
launched march 2 1972 :9
launched into orbit from :9
launched from wtr by :9
launched from barking sands :9
launched eight cosmos satellites :9
launched by nasa july :9
launched april 8 1970 :9
launched a black brant :9
launch was second in :9
launch vehicle and ksc :9
langley research center would :9
l gordon cooper lcol :9
ksc for launch operations :9
kennedy space center to :9
jr richard f gordon :9
jr and william a :9
joseph p kerwin and :9
john w young and :9
john s foster jr :9
john e naugle nasa :9
john a manke successfully :9
james g fulton rpa :9
its four solar panels :9
its boeing 747 carrier :9
it would be launched :9
it would be able :9
it was first time :9
it is possible that :9
it is essential that :9
it is difficult to :9
issued a request for :9
introduced for himself and :9
into an elliptical orbit :9
into a parking orbit :9
international telecommunications satellite consortium :9
international news services reports :9
international academy of astronautics :9
instruments func tioned satisfactorily :9
include all sources provided :9
in white house ceremony :9
in washington dc on :9
in the use of :9
in the number of :9
in the main chronology :9
in the long run :9
in the free world :9
in the apollosoyuz test :9
in the aerospace industry :9
in testimony before house :9
in st louis mo :9
in series was to :9
in san diego calif :9
in orbit around the :9
in gulf of mexico :9
in favor of the :9
in an attempt to :9
in air force and :9
in aeronautics and space :9
in accordance with the :9
improved tiros operational satellite :9
if we are to :9
hugh l dryden and :9
house office of science :9
history of project mercury :9
help provide a system :9
held at manned spacecraft :9
hearings on the fy :9
he had joined nasa :9
have been able to :9
hamilton standard div of :9
had traveled more than :9
had to be destroyed :9
had participated in two :9
had not been determined :9
had landed on moon :9
had flown three times :9
had conducted a total :9
had come to nasa :9
had been selected by :9
had been given to :9
had been found to :9
had been established in :9
had been delivered to :9
had been confirmed by :9
had been based on :9
h pickering jpl director :9
gsfc proj off november :9
gsfc experiment to obtain :9
grenades and recording their :9
grants and research contracts :9
goddard space flight cen :9
general dynamics corp and :9
gen thomas d white :9
gemini and apollo programs :9
g nikolayev and vitaly :9
fy 1973 nasa authorization :9
from wsmr carried gsfc :9
from woomera rocket range :9
from the lunar surface :9
from the center of :9
from edwards afb calif :9
from atlantic missile range :9
form are listed below :9
force space systems div :9
force announced the award :9
force and space digest :9
for use on the :9
for the cost of :9
for saturn ib and :9
for negotiation of contract :9
for launch in 1978 :9
for international cooperation in :9
for his contributions to :9
for design development fabrication :9
for design and development :9
for comparison with data :9
for at least a :9
for as long as :9
flights all in earth :9
flights a chronicle for :9
flight tests of the :9
flight dale d myers :9
first us satellite explorer :9
first man to walk :9
federal aviation administration and :9
fcc for authority to :9
failed to achieve orbit :9
faa administrator john h :9
f14 jet fighter aircraft :9
exploration of the planets :9
expected to be completed :9
executive secretary dr edward :9
equipment was said to :9
entered elliptical transfer orbit :9
end of the decade :9
en route to mars :9
elliot m see jr :9
electronics research center in :9
edward h white i1 :9
e webb said in :9
e teague dtex chairman :9
dudley observatory payload to :9
dr ralph e lapp :9
dr joseph f shea :9
dr charles h townes :9
down the atlantic missile :9
donn f eisele and :9
doctor of science degree :9
director of the new :9
director of marshall space :9
director of launch operations :9
director of biotechnology and :9
director glynn s lunney :9
direction of the office :9
development and use of :9
deputy assistant secretary of :9
department of defense nasa :9
department of defense and :9
decision on whether to :9
date marks those dates :9
data would be correlated :9
data were obtained by :9
daily news editorial commented :9
cooper lcol usaf and :9
contribution to existing knowledge :9
contract for production of :9
conrad jr richard f :9
congress congressional research service :9
conducted a total of :9
communications satellite corp announced :9
communications satellite act of :9
communications in the ussr :9
committee for space research :9
coast of south america :9
cited are not abbreviated :9
chronology for some of :9
charles conrad jr richard :9
charles conrad jr and :9
charles a berry msc :9
chairman dr glenn t :9
central tv programs to :9
center for advanced studies :9
carrying gsfc experiment to :9
carried univ of colorado :9
carried instrumented payload to :9
california at los angeles :9
by ussr from baykonur :9
by the new york :9
by nasa associate administrator :9
by l r c :9
by hugh l dryden :9
by fourstage scout booster :9
by as much as :9
by a factor of :9
between the two countries :9
berry nasa director of :9
berry msc director of :9
been turned over to :9
be used to launch :9
be launched into orbit :9
ball brothers research corp :9
b52 aircraft at 13 :9
b as probes ascended :9
awarded general electric co :9
attended by more than :9
at widely separated points :9
at the present time :9
at nasa flight research :9
at dulles international airport :9
at dryden flight research :9
astronauts james a mcdivitt :9
astronauts gerald p carr :9
astronauts frank borman james :9
astronauts frank borman and :9
astronauticsâ€™ subcommittee on space :9
astronaut virgil i grissom :9
astronaut john l swigert :9
asso ciate administrator for :9
assn of america inc :9
assistant to the president :9
assistant to nasa administrator :9
ascended to at least :9
as well as of :9
as saying that the :9
as probes ascended to :9
as part of an :9
as much as the :9
as far away as :9
army ballistic missile agency :9
arms limitation talks salt :9
are referenced to greenwich :9
are going to be :9
arcas sounding rocket launched :9
appendix a â€œsatellites space :9
appendix a of this :9
apollosoyuz test project and :9
apollo program was directed :9
apollo and soyuz spacecraft :9
apollo 14 astronauts alan :9
apollo 11 lunar samples :9
apogee 204km 1268mi perigee :9
announced it had completed :9
announced it had begun :9
announced it had appointed :9
announced intention to nominate :9
announced his intention to :9
announced award of contract :9
anniversary of the first :9
and were operating satisfactorily :9
and vitaly i sevastyanov :9
and the peopleâ€™s republic :9
and the european space :9
and stuart a roosa :9
and space museum in :9
and sound arrivals were :9
and other celestial bodies :9
and operation of the :9
and one of the :9
and marshall space flight :9
and international news services :9
and instruments func tioned :9
and earth sciences div :9
and construction of the :9
and aeronautics 1978 december :9
and aeronautics 1976 may :9
and aeronautics 1973 january :9
and aeronautics 1973 december :9
and aeronautics 1971 september :9
and aeronautics 1971 july :9
and aeronautics 1971 january :9
and aeronautics 1971 august :9
and aeronautics 1970 december :9
and aeronautics 1969 february :9
and aeronautics 1968 january :9
and aeronautics 1968 august :9
and aeronautics 1965 march :9
and a speed of :9
an interview with the :9
an extension of the :9
an agreement with the :9
an advanced version of :9
ames research center was :9
american telephone telegraph co :9
altitude to collect data :9
also they ignore the :9
all test objectives were :9
all in earth orbit :9
all equipment was functioning :9
all but one of :9
air transport assn of :9
air traffic control and :9
aec chairman dr glenn :9
advanced ballistic reentry system :9
administrator john h shaffer :9
academician boris n petrov :9
about the size of :9
about the nature of :9
a white house ceremony :9
a v wk reported :9
a test of the :9
a speech before the :9
a series of tests :9
a peak altitude of :9
a maximum speed of :9
700m 45 000ft altitude :9
31 astronautics and aeronautics :9
276 astronautics and aeronautics :9
22 astronautics and aeronautics :9
1975 apollosoyuz test project :9
188 astronautics and aeronautics :9
175 astronautics and aeronautics :9
17 nov 17 1970 :9
16 km 10 mi :9
16 astronauts john w :9
150a sounding rocket launched :9
150a sounding rocket from :9
14 astronauts alan b :9
13 700m 45 000ft :9
1 had been launched :9
∞the federal aviation administration :8
∞the european space research :8
∞new york times editorial :8
∞nasa announced that dr :8
∞ twentyfifth anniversary of :8
∞ tenth anniversary of :8
∞ soviet news agency :8
∞ senate confirmed nomination :8
∞ senate by vote :8
∞ newspaper editorials commented :8
∞ nasa announced signing :8
∞ m2f2 lifting body :8
∞ library of congress :8
∞ in letter to :8
∞ dr hugh l :8
∞ apollo 15 astronauts :8
∞ apollo 11 astronaut :8
x15 rocket research aircraft :8
x15 no 2 was :8
x15 no 1 was :8
wsmr with vam20 booster :8
would serve as a :8
would depend on the :8
would continue to be :8
would be used with :8
would be tested in :8
would be spent on :8
would be shipped to :8
would be installed on :8
would be flown on :8
would be determined by :8
would be designed to :8
would be carried to :8
would also serve as :8
worden and james b :8
within the next few :8
with vam20 booster carried :8
with instrumented payload to :8
wilson and palomar observatories :8
william f ryan dny :8
will be required to :8
which was expected to :8
whether or not the :8
where they would be :8
where he had been :8
when the spacecraft was :8
what appeared to be :8
west of rosamond calif :8
wernher von braun and :8
were to have been :8
were expected to reach :8
were described in science :8
were being used to :8
we would like to :8
we will have to :8
way to the moon :8
washington post reported that :8
was to obtain highresolution :8
was the result of :8
was so accurate that :8
was scheduled for late :8
was reported to have :8
was launched from vandenberg :8
was launched from ft :8
was first of two :8
was expected to make :8
was expected to continue :8
was discussed in science :8
was directed by ossa :8
was described in science :8
was being prepared for :8
was being conducted by :8
was airlaunched from b52 :8
was a member of :8
walter sullivan reported in :8
vice chief of staff :8
via early bird i :8
venture into space early :8
utilization and policy planning :8
usussr rendezvous and docking :8
used in the chronology :8
use of satellites to :8
us supersonic transport aircraft :8
us space program was :8
us space program in :8
us and ussr were :8
up to one year :8
united s a e :8
under secretary of transportation :8
under direction of dr :8
two nikeapache sounding rockets :8
turned out to be :8
totals for manned spacecraft :8
told the press that :8
to the naked eye :8
to the moon is :8
to the general public :8
to the future of :8
to take part in :8
to study the effects :8
to study behavior of :8
to proceed with the :8
to obtain ozone measurements :8
to new position of :8
to nasa manned spacecraft :8
to manned space flight :8
to live and work :8
to land on the :8
to ensure that the :8
to dock with the :8
to develop technology for :8
to determine feasibility of :8
to be operational by :8
to be delivered to :8
to be assistant secretary :8
to an existing contract :8
titan i11 launch vehicle :8
tiros operational satellite tos :8
thomas k mattingly 11 :8
this would be the :8
this was the second :8
this tabulation than in :8
the white house and :8
the us would be :8
the us geological survey :8
the univ of michigan :8
the united states launched :8
the united s a :8
the tracking and data :8
the total value of :8
the space task group :8
the space shuttle to :8
the space program has :8
the space age has :8
the soviet union would :8
the soviet union was :8
the soviet union to :8
the senate the nomination :8
the second phase of :8
the satellite would help :8
the same time as :8
the region of the :8
the program would be :8
the people of the :8
the part of the :8
the paris international air :8
the operations control center :8
the ny times reported :8
the next five years :8
the needs of the :8
the moonâ€™s surface and :8
the moon had been :8
the moon before the :8
the moon and other :8
the milky way galaxy :8
the main chronology as :8
the los angeles times :8
the joint chiefs of :8
the johnson space center :8
the international academy of :8
the house science and :8
the house armed services :8
the gemini and apollo :8
the fy 1974 nasa :8
the following tabulation was :8
the first u s :8
the first phase of :8
the first decade of :8
the feasibility of using :8
the fact that we :8
the facility would be :8
the end of its :8
the effects of weightlessness :8
the design of the :8
the dept of the :8
the delta launch vehicle :8
the course of the :8
the contract called for :8
the committee on science :8
the coast of kenya :8
the base of the :8
the attitude control system :8
the apollo spacecraft a :8
the apollo program and :8
the apollo pro gram :8
the ames research center :8
the air force flight :8
the agena target vehicle :8
the aerospace industries assn :8
the 50th anniversary of :8
that the u s :8
that the soviets were :8
that can not be :8
than sounding rockets launched :8
than planned because of :8
text ∞ nasa announced :8
tests in the pacific :8
testimony before the house :8
test pilot fitzhugh fulton :8
test and evaluation of :8
temperature pressure and density :8
tee on science and :8
technology utilization and policy :8
technology satellite launched by :8
technical assistant to the :8
tabulation than in listings :8
t seaborg aec chairman :8
systems were operating normally :8
support of project apollo :8
supercritical wing flown on :8
sullivan reported in the :8
subcommittee of un committee :8
stations around the world :8
stafford vance d brand :8
spread of nuclear weapons :8
sperry rand corp for :8
spacecraft in earth orbit :8
spacecraft center announced award :8
space shuttle orbiter and :8
space science and applica :8
space research and development :8
space medicine in project :8
space hall of fame :8
space for the benefit :8
space flight would be :8
space flight msc was :8
space flight center scientist :8
space flight center in :8
space early years of :8
sources provided in the :8
sounding rockets launched from :8
sounding rockets from wsmr :8
sounding rockets from nasa :8
sounding rocket was successfully :8
sounding rocket launches from :8
sounding rocket from poker :8
smithsonian institutionâ€™s national air :8
skylab 4 astronauts gerald :8
side of the earth :8
sheldon 11 chief of :8
senate the nomination of :8
see white sands missile :8
see massachusetts institute of :8
see international civil aviation :8
see international business machines :8
see health education and :8
see european launcher develop :8
see american telephone and :8
secretary dr edward c :8
secondary objectives were to :8
scott alfred m worden :8
scientists headed by dr :8
scientists and engineers to :8
scientific and engineering data :8
science and technology of :8
science and technology are :8
science and astronauticsâ€™ sub :8
science and astronautics favorably :8
science and applications and :8
scheduled for july 1975 :8
satellite would help provide :8
satellite with thoragena d :8
satellite situation report translations :8
satellite launched july 23 :8
said that the us :8
said in address before :8
s sheldon 11 chief :8
rocket was successfully launched :8
rocket launched from point :8
robert s mcnamara announced :8
reuters n y t :8
return to earth with :8
resources experiment package erep :8
research center of the :8
research center announced award :8
research applied to national :8
research and technology and :8
research a history of :8
republic of china had :8
reported that the ussr :8
reported in washington post :8
report issued by the :8
rep william f ryan :8
rep joseph e karth :8
release 7 4 2 :8
release 6 7 4 :8
release 6 5 4 :8
relative to the earth :8
referred to senate committee :8
range n mex carrying :8
r scott alfred m :8
r schlesinger secretary of :8
r gilruth director of :8
provided in the chronology :8
provide tracking and telemetry :8
proj off ∞ president :8
program announced by tass :8
products and chemicals inc :8
procurement launch and initial :8
primary nasa objective was :8
president and chief executive :8
preliminary data indicated that :8
pratt whitney div united :8
plesetsk entered orbit with :8
pilot john b mckay :8
physics experiment to a :8
phase of the program :8
perigee 887min period and :8
per share up from :8
per share for first :8
per cent of our :8
peaceful exploration of space :8
parts of the world :8
p stafford vance d :8
p stafford maj usaf :8
p l l o :8
p kerwin and paul :8
other foreign nations are :8
other agencies as well :8
orbit with an apogee :8
orbit accurate enough for :8
orbit 3 in lunar :8
or more human beings :8
or c conveyed one :8
one or more human :8
one of the three :8
on the moon is :8
on the moon could :8
on the moon before :8
on successful completion of :8
on satellites of other :8
on moon nov 17 :8
on lunar surface and :8
on board luna 17 :8
on behalf of nasa :8
off x15 flight log :8
of united technologies corp :8
of the van allen :8
of the use of :8
of the space shuttleâ€™s :8
of the program would :8
of the national research :8
of the nasa office :8
of the most important :8
of the moon from :8
of the federal government :8
of the federal aviation :8
of the external tank :8
of the bolshevik revolution :8
of the apollo and :8
of spacecraft in orbit :8
of scientific research and :8
of other foreign nations :8
of nasaâ€™s office of :8
of manned spacecraft center :8
of manned and unmanned :8
of its kind to :8
of electronics and control :8
of communications satellite corp :8
of apollo 11 astronaut :8
of a program to :8
obtain ozone measurements in :8
obtain data on the :8
oak ridge national laboratory :8
not include all sources :8
not been able to :8
not be able to :8
north american aviation and :8
no recovery was attempted :8
news agency tass reported :8
new york times â€œthe :8
new york herald tribune :8
new mexico state univ :8
naval research laboratory and :8
nations are from the :8
national science teachers assn :8
national science founda tion :8
national civil service league :8
nasaâ€™s exceptional service medal :8
nasa rpt of s :8
nasa nikeapache sounding rockets :8
nasa mississippi test facility :8
nasa launched aerobee 150 :8
nasa had awarded a :8
nasa deputy administrator and :8
nasa associate ad ministrator :8
nasa announced signing of :8
nasa announced establishment of :8
nasa and the national :8
nasa and other federal :8
nasa and european space :8
nasa administrator dr james :8
mph relative to earth :8
more than 50 of :8
more than 1 billion :8
mission was scheduled for :8
mission control center at :8
missile sites labor commission :8
minutes for the soviet :8
million less than the :8
might be used to :8
might be able to :8
michoud assembly facility for :8
medicine in project mercury :8
medal was presented to :8
mcdonnell douglas corp and :8
marshall star reported that :8
marshall space flight centers :8
manned spacecraft center and :8
manned space flight programs :8
manned space flight operations :8
manned space flight msc :8
manned flight to the :8
manned and unmanned space :8
malfunctions did not give :8
maj robert rushworth usaf :8
maj robert m white :8
made it possible to :8
made available to the :8
m worden and james :8
m grimwood and charles :8
m emme nasa historian :8
listings which reference to :8
list does not include :8
library of congress congressional :8
less than half the :8
launched series of three :8
launched in conjunction with :8
launched from a b52 :8
launched dec 7 1968 :8
launched a nikeapache sounding :8
launched 5 april 1973 :8
launched 2 march 1972 :8
launch vehicle would be :8
launch and initial checkout :8
landing at edwards afb :8
l o l l :8
l fulton jr and :8
l bisplinghoff nasa associate :8
kyodo in english feb :8
ksc in preparation for :8
kerwin and paul j :8
karl g harr jr :8
jr dr joseph p :8
jet aircraft piloted by :8
james r schlesinger secretary :8
james e webb was :8
itt world communications inc :8
it would be the :8
it was scheduled to :8
it is not a :8
it is in the :8
is the fact that :8
introduced in the house :8
into space early years :8
into low earth orbit :8
international telephone and telegraph :8
instruments functioned satis factorily :8
instrumented payload to measure :8
institutions of higher learning :8
institute for strategic studies :8
information releases of the :8
information about the moon :8
industry affairs and technology :8
inclination and reentered march :8
in washington dc by :8
in this tabulation than :8
in the years ahead :8
in the white house :8
in the spring of :8
in the national interest :8
in the milky way :8
in the manned space :8
in the chronology for :8
in the amount of :8
in the absence of :8
in testimony before the :8
in testimony before senate :8
in terms of the :8
in space research and :8
in space had been :8
in research a history :8
in preparation for launch :8
in prepara tion for :8
in our space program :8
in listings which reference :8
in gsfc experiment to :8
in fy 1973 to :8
in fy 1972 and :8
in experiment to measure :8
in earth orbit in :8
in earth orbit 3 :8
in astronautics and aeronautics :8
in as consultant to :8
in an editorial in :8
in abbreviated form are :8
i believe that the :8
hydrogen and liquid oxygen :8
house by vote of :8
history of aeronautics and :8
his intention to nominate :8
henry m jackson dwash :8
heating and cooling systems :8
have been caused by :8
had served as deputy :8
had designed and built :8
had been used by :8
had been unable to :8
had been turned over :8
had been set for :8
had been sent to :8
had been president of :8
had been made with :8
had been installed in :8
had been formed by :8
had been discovered in :8
had been detected by :8
had been asked to :8
h goddard memorial trophy :8
h dana flew x15 :8
guggenheim international astronautics award :8
grimwood and charles c :8
god dard space flight :8
glenn t seaborg aec :8
general dynamics corp for :8
gemini and apollo spacecraft :8
fy 1974 nasa authorization :8
fy 1971 independent offices :8
from wsmr with vam20 :8
from wallops station to :8
from wallops sta tion :8
from wal lops station :8
from the tass news :8
from the surface of :8
from sounding rockets etc :8
from some of the :8
from plesetsk entered orbit :8
from goddard space flight :8
from etr on a :8
from all over the :8
free flight of the :8
france and west germany :8
four solar panels and :8
foreign nations are from :8
force eastern test range :8
for use of the :8
for the second time :8
for the office of :8
for the construction of :8
for space research and :8
for research development and :8
for nasa office of :8
for nasa in fy :8
for more than a :8
for manned spacecraft hours :8
for lunar and planetary :8
for gca corp under :8
for contributions to the :8
for continued space research :8
for a number of :8
for a long time :8
following tabulation was compiled :8
floor of the senate :8
flight was to check :8
flight of the space :8
flight center announced that :8
first time in the :8
first manned orbital flight :8
first flight test of :8
first closeup photos of :8
federal support to universities :8
federal republic of germany :8
experiments were designed to :8
exceptional service medal for :8
eugene m emme nasa :8
eugene m emme ed :8
erts 1 launched july :8
entered lunar orbit with :8
end of this year :8
electron density and temperature :8
effects of weightlessness and :8
edward m kennedy dmass :8
