total weight :2627
john m :13
j p :13
j f :13
international relations :13
instrumented capsule :13
information releases :13
industrial applications :13
incli apogee :13
improve satellite :13
impact occurred :13
hq wb :13
hq press :13
hot stars :13
horizon scanner :13
honorary doctor :13
health service :13
harold e :13
hans mark :13
hamilton nyt :13
ground receiving :13
ground operations :13
ground crews :13
goodyear aerospace :13
goldwater rariz :13
gherman s :13
germany italy :13
german ministry :13
george f :13
geophysical research :13
geomagnetic field :13
gemini space :13
galileo ii :13
galactic cosmic :13
functioned properly :13
fullscale development :13
frank press :13
foundation released :13
foundation announced :13
former chief :13
ford motor :13
force eugene :13
force association :13
flight including :13
flight equipment :13
fleet satellite :13
fl rocket :13
five experiments :13
firmfixedprice contract :13
final test :13
feet above :13
feb 1975 :13
feb 14 :13
farnsworth nyt :13
f m :13
extraterrestrial intelligence :13
external tanks :13
explorer xxii :13
explorer iue :13
experiments returned :13
experiment designed :13
executive session :13
essa ii :13
esmc s :13
equipment needed :13
engineering directorate :13
energy spectra :13
energy resources :13
electronics corp :13
eight days :13
effective oct :13
edward m :13
economic cooperation :13
ecliptic plane :13
eberhard f :13
earths rotation :13
earths ionosphere :13
dtex chairman :13
dr theodore :13
dr stanley :13
dr ralph :13
dr gilruth :13
douglas missile :13
donald l :13
dod officials :13
div announced :13
development laboratory :13
detailed information :13
descent propulsion :13
demonstration act :13
delta 2nd :13
definition phase :13
defense space :13
defense ministry :13
defense announced :13
december 30 :13
december 24 :13
december 1980 :13
december 1973 :13
december 1965 :13
dec 29 :13
dec 22 :13
dc press :13
data returned :13
data designation :13
data date :13
data available :13
d h :13
cylindrical body :13
cu ft :13
crew successfully :13
crater moon :13
cost reduction :13
cosmodrome near :13
correction maneuver :13
corddry b :13
contract worth :13
contract negotiations :13
construction workers :13
confirmed nomination :13
conducted jointly :13
conducted experiments :13
conduct auroral :13
conceptual design :13
comsat release :13
computer science :13
communications traffic :13
communications sessions :13
communications relay :13
communications blackout :13
communications agency :13
committee approved :13
commercial tv :13
commercial applications :13
command newsreview :13
command afsc :13
columbia broadcasting :13
color photos :13
cleveland plain :13
civil air :13
city times :13
chemical reactions :13
chemical analysis :13
cernan ronald :13
central computer :13
center told :13
caspar weinberger :13
carrying scientific :13
carried six :13
carr dr :13
cargo ship :13
calif plant :13
c chronology :13
bulgaria hungary :13
building vab :13
buenos aires :13
bruce c :13
brazilian space :13
braun nasa :13
booster stage :13
booster combination :13
biosatellite ii :13
bill provided :13
bill became :13
became assistant :13
ballistic trajectory :13
baikonur tyuratam :13
aviation hall :13
auxiliary propulsion :13
automatic landing :13
aug 14 :13
atmospheric cloud :13
atmospheric administrations :13
atlas e :13
astrophysical journal :13
astronomical unit :13
astronaut virgil :13
ariane launch :13
arc director :13
apogee 205km :13
apogee 199km :13
antisatellite weapons :13
antimissile defense :13
announced launch :13
announced formation :13
announced agreement :13
americas space :13
american industry :13
american assn :13
am moscow :13
altitudes above :13
al july :13
airline pilots :13
aircraft flew :13
aircraft dod :13
aircraft development :13
aircraft designed :13
aircraft crashed :13
air conditioning :13
agreement provided :13
agency statements :13
advanced saturn :13
advanced programs :13
administration officials :13
administration faa :13
additional funds :13
activities including :13
achieved nasa :13
academic science :13
a3 missile :13
89min period :13
899min period :13
887min period :13
886min period :13
800 million :13
76 a2 :13
70 million :13
600 mi :13
49 million :13
45 minutes :13
39 million :13
38 min :13
350 million :13
32 billion :13
30 billion :13
28 1965 :13
27 july :13
2100 pounds :13
20th century :13
20 sec :13
20 nov :13
1975 usussr :13
1972 october :13
1972 march :13
1972 december :13
1969 march :13
1968 october :13
1967 nasa :13
19 june :13
18 oct :13
18 m :13
17 sept :13
17 billion :13
160 km :13
16 june :13
15 yr :13
15 mi :13
15 aug :13
140 astronautics :13
13 march :13
13 feb :13
13 experiments :13
13 april :13
13 700m :13
12 nov :13
112 astronautics :13
110 million :13
11 billion :13
105 million :13
100 ft :13
—nasa announced :12
—msfc announced :12
wtr using :12
worth tex :12
wing aircraft :12
wind velocity :12
wind temperature :12
wind energy :12
west berlin :12
weightless conditions :12
weeks ago :12
webb told :12
weather prediction :12
weapons center :12
volcanic eruptions :12
viking missions :12
vertical tail :12
vela hotel :12
vehicle nasa :12
vehicle carrying :12
vegas nev :12
vector control :12
vapor cloud :12
v 3rd :12
usussr agreement :12
ussr orbited :12
usn launched :12
using solar :12
usaf reported :12
usaf deputy :12
upi p :12
unsuccessful u :12
unmanned payloads :12
unmanned flights :12
unknown unk :12
univ scientist :12
unavailable 39 :12
uhuru explorer :12
u2 aircraft :12
tropical storm :12
transmitter command :12
transcript wash :12
training center :12
tracking ships :12
total results :12
total astronaut :12
top priority :12
times higher :12
thomas f :12
third successful :12
tf8a aircraft :12
testban treaty :12
test wing :12
test vehicles :12
temperature data :12
television transmission :12
telescope facility :12
telephone service :12
telephone electronics :12
telephone communications :12
telemetry systems :12
telemetry signal :12
telemetry equipment :12
technology div :12
technological problems :12
technological development :12
technical requirements :12
technical management :12
technical feasibility :12
tass interview :12
tass announcement :12
t beregovoy :12
systems performed :12
systems developed :12
systems center :12
swedish space :12
surface experiment :12
supporting research :12
sunspot activity :12
suns surface :12
suns rays :12
sunnyvale calif :12
successfully deployed :12
successfully demonstrated :12
successful conclusion :12
submit proposals :12
sts mission :12
stations throughout :12
station reached :12
station launched :12
station carrying :12
static firings :12
star oct :12
stage ignited :12
staff member :12
spectral bands :12
specially designed :12
special committee :12
spaceship earth :12
space tass :12
space ships :12
space scientist :12
space report :12
space rendezvous :12
space launchings :12
space industrialization :12
space digest :12
space committees :12
space cabin :12
space astronomy :12
soyuz 27 :12
soyuz 20 :12
soyuz 18 :12
soyuz 16 :12
soviet territory :12
soviet soyuz :12
soviet scientific :12
soviet satellites :12
soviet embassy :12
soviet communist :12
solar storms :12
solar research :12
solar heat :12
solar collectors :12
solar astronomy :12
society meeting :12
snow cover :12
skylab workshop :12
sky lab :12
six experiments :12
site apogee :12
simultaneous measurements :12
significant contributions :12
significant changes :12
signals received :12
shuttles solidfuel :12
shuttles cargo :12
shuttle engines :12
severe storms :12
sept 23 :12
sept 1975 :12
senior staff :12
senate aeronautical :12
secretary dr :12
secretary caspar :12
search range :12
scientists headed :12
scientific return :12
scientific disciplines :12
scientific achievements :12
sciences president :12
sciences meeting :12
science programs :12
science degree :12
science center :12
scheduled launch :12
saturn cl :12
satellites nasa :12
satellite observations :12
satellite measurements :12
s titov :12
s partially :12
royal society :12
review committee :12
reusable shuttle :12
research vehicles :12
research satellites :12
research cospar :12
research applied :12
report translations :12
report issued :12
replaced cosmos :12
relations committee :12
related equipment :12
regulatory commission :12
recovery operations :12
raymond nyt :12
radio telescopes :12
radar calibration :12
project offices :12
project director :12
prime contract :12
pressure data :12
president nikolay :12
president dwight :12
presented annually :12
practical benefits :12
postapollo space :12
planetary systems :12
planetary sciences :12
pitotstatic probe :12
pitch angle :12
pioneer ix :12
pio interview :12
pickering jpl :12
perigee 89min :12
perigee 887min :12
performing satisfactorily :12
payloads including :12
payload weight :12
pavel belyayev :12
partial success :12
parallel studies :12
p jackson :12
ozone measurements :12
ozone distribution :12
overseas airways :12
outstanding achievement :12
oso vi :12
originally developed :12
organization eldo :12
orbiting moon :12
orbiting laboratories :12
orbital velocity :12
orbital scientific :12
orbital insertion :12
orbit above :12
operations team :12
operations support :12
operations div :12
operational requirements :12
operate longrange :12
oneyear options :12
october 1984 :12
ocean satellite :12
obtained data :12
observers believed :12
objective operate :12
objective obtain :12
objective navigation :12
o thompson :12
nuclear regulatory :12
nuclear missiles :12
november 25 :12
north africa :12
newly established :12
newly developed :12
nevada test :12
neutral atmosphere :12
network stdn :12
necessarily arbitrary :12
neatly categorized :12
nearmoon space :12
nearly identical :12
near space :12
navigation description :12
naval operations :12
naval observatory :12
nations including :12
nasnrc release :12
nasas marshall :12
nasas hl10 :12
nasas explorer :12
nasas deputy :12
nasa spacecraft :12
nasa mors :12
nasa missions :12
nasa int :12
nasa facilities :12
nasa dod :12
nasa direction :12
nasa contractors :12
nasa believed :12
named dr :12
named chairman :12
name nasa :12
n rocket :12
move forward :12
move ahead :12
motor co :12
moss dutah :12
moscow tv :12
moscow radio :12
moscow news :12
moon walk :12
mojave desert :12
module lm :12
missile successfully :12
missile space :12
missile launched :12
minutes degrees :12
milton o :12
million lb :12
million kilometers :12
military satellites :12
military photo :12
midcourse motor :12
mi southwest :12
mi south :12
mi northeast :12
mi minutes :12
measurements taken :12
measure earths :12
mcnamara announced :12
maximum solar :12
materials laboratory :12
mars venus :12
manned skylab :12
manned operations :12
manned aircraft :12
maneuverable aircraft :12
major role :12
major factor :12
major airports :12
main parachute :12
m lovelace :12
m komarov :12
m grimwood :12
lunar transfer :12
lunar bases :12
luna xii :12
lower ionosphere :12
louis miss :12
longrange weather :12
longest manned :12
live coverage :12
linear accelerator :12
lifttodrag ratio :12
lifting bodies :12
lerc director :12
launching station :12
launched nikeapache :12
launched explorer :12
launch spacecraft :12
launch satellite :12
launch phase :12
launch costs :12
launch control :12
late 1967 :12
las cruces :12
landing capsule :12
land sea :12
land masses :12
laboratory tests :12
l1011 tristar :12
km 100 :12
key personnel :12
kenneth s :12
june 1962 :12
july 26aug :12
july 1969 :12
july 1624 :12
jr richard :12
jpl scientist :12
joint nasausaf :12
joint efforts :12
johnson administration :12
john t :12
john n :12
joe h :12
jesse moore :12
jesse l :12
january nasa :12
january 1971 :12
jan 1978 :12
jan 1976 :12
jacqueline cochran :12
j kelley :12
j collier :12
iv satellite :12
ion mass :12
inventory experiment :12
interrogation recording :12
international maritime :12
international date :12
international aviation :12
instrumented aircraft :12
instrument landing :12
information derived :12
industry employment :12
industrial rd :12
independently targetable :12
included dr :12
improved thordelta :12
ii rocket :12
historical staff :12
highly trained :12
highest priority :12
higher speeds :12
hermann oberth :12
ham radio :12
hall r :12
h townes :12
grose nyt :12
government spending :12
government employees :12
gould nyt :12
gossamer condor :12
global commercial :12
gilruth msc :12
german rocket :12
german government :12
g magnuson :12
future nasa :12
future flights :12
frank d :12
fractional orbital :12
fourth stage :12
foreign affairs :12
following tabulation :12
flying object :12
flight surgeon :12
flight rules :12
flight dale :12
fixedwing aircraft :12
field engineering :12
federal electric :12
federal council :12
february nasa :12
fbis tokyo :12
f shea :12
explorer xxix :12
explorer xvi :12
experiments operated :12
experimental objectives :12
experimental engine :12
evert clark :12
evaluate stability :12
european participation :12
et de :12
essa vii :12
environmental sciences :12
environmental impact :12
environmental conditions :12
entered lm :12
english oct :12
engine performance :12
engine noise :12
energy efficiency :12
electronics engineers :12
electronics div :12
electrical systems :12
electric current :12
eight satellites :12
effective feb :12
educational television :12
educational scientific :12
earth landing :12
dynamic processes :12
dr welsh :12
dr leon :12
dr lawrence :12
dr g :12
dr eberhard :12
dr d :12
dollar value :12
dle baykonurtyuratam :12
distance record :12
director christopher :12
direct tv :12
dia carrying :12
development production :12
development corp :12
develop ment :12
despun antenna :12
design contracts :12
demonstration test :12
deke slayton :12
defense nasa :12
defense minister :12
dedication ceremonies :12
december 1974 :12
decade ago :12
de recherches :12
days earlier :12
david scott :12
data km :12
data communications :12
da vinci :12
d bushuyev :12
current series :12
cultural organization :12
crew deployed :12
county fla :12
cotton usaf :12
cost estimates :12
cospar meeting :12
cosmic xray :12
corps space :12
cornell aeronautical :12
cooperative satellite :12
cooling demonstration :12
convair aerospace :12
control facility :12
contractor personnel :12
contract provided :12
continue studies :12
conical motor :12
conference following :12
comsatcorp president :12
comsatcorp pio :12
composition experiment :12
communications navigation :12
commercial operation :12
combustion instability :12
columbus ohio :12
co received :12
close approach :12
clemente calif :12
civilian service :12
chief designer :12
chemical processes :12
chemical evolution :12
charles r :12
charles g :12
ceremony attended :12
center va :12
celestial mechanics :12
ceased transmitting :12
category unknown :12
caspian sea :12
carter administration :12
carried scientific :12
carried dudley :12
canary islands :12
cal techs :12
bruce mccandless :12
brothers memorial :12
british overseas :12
braun msfc :12
braking rockets :12
borman james :12
bochum observatory :12
board recommended :12
bill s :12
became nasa :12
became available :12
barry goldwater :12
awarded contracts :12
award presented :12
aviation pioneer :12
automatic station :12
authorization act :12
august 1980 :12
atmospheric reentry :12
atmospheric data :12
atlas agena :12
astronomy programs :12
astronauts aboard :12
astronautics award :12
assistant associate :12
aspect sensor :12
artificial satellites :12
artificial radiation :12
ariane rocket :12
arecibo ionospheric :12
april 1975 :12
apr 19 :12
apr 12 :12
apparently failed :12
apollo lm :12
anything else :12
annual budget :12
announced election :12
announced decision :12
anno july :12
anno aug :12
am pdt :12
altitude chamber :12
alexander p :12
alaska carried :12
al a3 :12
airways corp :12
aircraft nasa :12
aircraft capable :12
agriculture dept :12
afsc space :12
aerospace sales :12
aerospace firms :12
aerospace exports :12
aerospace defense :12
aeronautics naca :12
aeronautical technology :12
aeronautical science :12
aerobee 200a :12
aerobee 200 :12
advanced orbiting :12
administrator testified :12
active duty :12
acquire data :12
achievement awards :12
academic community :12
900 million :12
90 min :12
84 astronautics :12
80 km :12
80 astronautics :12
76 al :12
74 a3 :12
73 o :12
700m 45 :12
700 m :12
700 000 :12
628° inclination :12
62 astronautics :12
56 astronautics :12
51 min :12
500 lbs :12
500 kg :12
4th stage :12
49 min :12
45 000 :12
41 million :12
37 m :12
36 min :12
35 billion :12
34 million :12
33 billion :12
300 ft :12
30 minutes :12
29 cosmos :12
28 june :12
28 feb :12
27 sept :12
27 dec :12
264 astronautics :12
26 feb :12
26 billion :12
250 mi :12
25 ussr :12
244 astronautics :12
24 jan :12
24 april :12
222 astronautics :12
210 astronautics :12
21 sept :12
203km 1261mi :12
202km 1255mi :12
200 miles :12
20 minutes :12
1978 august :12
1975 launch :12
1975 apollosoyuz :12
1972 november :12
1972 january :12
1971 january :12
1970 january :12
1969 september :12
1969 august :12
1968 september :12
1968 authorization :12
1967 october :12
1967 apollo :12
1966 nasa :12
1964 nasa :12
19 sept :12
186 astronautics :12
180 million :12
18 ussr :12
1600 km :12
16 sept :12
16 april :12
150 launched :12
15 ussr :12
15 minutes :12
15 march :12
15 launch :12
15 crew :12
15 april :12
146 astronautics :12
13 dec :12
1261mi perigee :12
1255mi perigee :12
125 mi :12
12 sept :12
12 crew :12
12 aug :12
12 1961 :12
115 million :12
112 million :12
11 january :12
108 astronautics :12
000 sq :12
zond vi :11
zond ii :11
xrays gamma :11
xray emission :11
wubbo ockels :11
worlds fair :11
winglike solar :11
wind velocities :11
william g :11
west virginia :11
west indies :11
weight 2500 :11
weather photos :11
waste management :11
walter j :11
vostok v :11
vostok spacecraft :11
vostok ii :11
volpe announced :11
vladimir shatalov :11
vladimir lyakhov :11
vladimir komarov :11
vladimir dzhanibekov :11
visited nasa :11
via relay :11
vi mission :11
vela nuclear :11
vehicle research :11
vehicle malfunctions :11
vehicle designed :11
vc sounding :11
vapor trail :11
vam—20 booster :11
ussr satellite :11
ussr launches :11
ussr launch :11
using data :11
usafs manned :11
usaf oar :11
usaf aeronautical :11
urban developmentspacescienceveterans :11
unnamed nasa :11
unmanned test :11
universities space :11
univac div :11
unit spacecraft :11
undocked initiated :11
underground silo :11
ultraviolet telescope :11
uk france :11
u unk :11
twice daily :11
tv transmitted :11
tv screen :11
tv networks :11
tv broadcast :11
transport concorde :11
transearth coast :11
tps qualification :11
toth wash :11
told nasa :11
titan iiia :11
tiros x :11
tiros v :11
tiros iv :11
tion remarks :11
times mar :11
times commented :11
thrust vector :11
thrust augmented :11
threestage rocket :11
thoradagena d :11
thor delta :11
thor booster :11
thomas l :11
third orbit :11
thin atmosphere :11
thematic mapper :11
tf8a jet :11
text october :11
test phase :11
ten times :11
television voice :11
telemetry indicated :11
technology nasa :11
technology inc :11
technology dr :11
technology corp :11
technology base :11
technological advance :11
technical publications :11
technical notes :11
tass report :11
targetable reentry :11
systems aboard :11
synchronous orbits :11
surveyor vii :11
surveyor ii :11
surface vessels :11
supersonic speed :11
sun reported :11
successfully testfired :11
successfully accomplished :11
successful landing :11
subsonic speeds :11
subsonic jet :11
suborbital mercury :11
study stellar :11
strategic offensive :11
strategic forces :11
story musgrave :11
station design :11
star aug :11
stage instrument :11
stage burned :11
stafford maj :11
stability control :11
st regis :11
spy satellite :11
sponsored jointly :11
speed range :11
spectral irradiance :11
spectral data :11
spacecraft subsystems :11
spacecraft recovery :11
spacecraft propulsion :11
spacecraft performance :11
spacecraft orbited :11
spacecraft operations :11
spacecraft operating :11
spacecraft lm :11
spacecraft landed :11
spacecraft fire :11
space trophy :11
space powers :11
space meeting :11
space funding :11
space engineering :11
space conditions :11
space colonies :11
space 1963 :11
soyuz t :11
soyuz 21 :11
soviet science :11
soviet luna :11
soviet data :11
solid rockets :11
solid motor :11
solar uv :11
solar terrestrial :11
solar magnetic :11
solar electric :11
socialist countries :11
skylab programs :11
skylab launch :11
skylab astronauts :11
sixmonth study :11
sites labor :11
sinus medii :11
simulated altitude :11
similar experiment :11
shuttles main :11
shuttle orbital :11
shuttle facilities :11
shuttle crews :11
shuttle avionics :11
shuttle atlantis :11
short periods :11
service reported :11
service employees :11
serious problems :11
september 25 :11
september 1983 :11
september 1979 :11
sensing devices :11
sensed data :11
sen george :11
seismic experiment :11
security industrial :11
security classification :11
secondary mission :11
seaborg aec :11
scott alfred :11
scientists speculated :11
scientific progress :11
scientific effort :11
science pilot :11
science instruments :11
science editorial :11
satellites orbit :11
satellites including :11
satellite tos :11
satellite scries :11
satellite radio :11
satellite goes :11
satellite design :11
satellite center :11
santa monica :11
sales increased :11
safety advisory :11
russian cosmonauts :11
rotor systems :11
rogers dry :11
rockwell intls :11
rockets etc :11
rocket technology :11
rocket nasa :11
rocket aircraft :11
richard e :11
richard c :11
richard b :11
reusable spacecraft :11
results—successful s :11
resources data :11
research station :11
research institutes :11
research establishment :11
rescue treaty :11
reports indicated :11
replacing dr :11
rendezvous radar :11
rendezvous maneuvers :11
remotely sensed :11
release wb :11
release wash :11
recently completed :11
recent soviet :11
reach venus :11
reach agreement :11
rd total :11
rd effort :11
rd activities :11
range instrumentation :11
ralph e :11
radio transmitters :11
radio moscow :11
radiation solar :11
radiation intensity :11
radar data :11
questioned whether :11
quarantine facility :11
qualification tests :11
q daddario :11
pure science :11
proving ground :11
providing information :11
provide domestic :11
prototype construction :11
propulsion engine :11
project west :11
project called :11
probes ascended :11
previously scheduled :11
previously believed :11
pressure suit :11
pressure distribution :11
preliminary study :11
preliminary flight :11
poseidon missile :11
poor quality :11
polaris missiles :11
plasma probe :11
planned circular :11
planetary science :11
physical review :11
physical processes :11
photos transmitted :11
personnel changes :11
perkinelmer corp :11
period min :11
period incli :11
perigee date :11
perigee 23hr :11
payload recovery :11
payload performance :11
payload assist :11
paul haney :11
passenger miles :11
park md :11
panels extended :11
panels deployed :11
palapa b2 :11
outer radiation :11
outer planet :11
oso v :11
orlando sentinel :11
originally designed :11
orbiter project :11
orbiter iv :11
orbiter ii :11
orbited b :11
orbital elements :11
orbit 35 :11
orb iter :11
operational mission :11
operational flights :11
operational flight :11
operating agreement :11
operate spacecraft :11
opening session :11
officials told :11
office washington :11
office snpo :11
october 1973 :11
oct 29 :11
obtain postlanding :11
objective unavailable :11
objective perform :11
objective launch :11
oakland calif :11
nyt june :11
nyt jan :11
nutley nj :11
nuclear fuel :11
nsf released :11
nrl release :11
nr rocketdyne :11
november 1984 :11
nov 25 :11
nov 1974 :11
notre dame :11
noel hinners :11
nikolay n :11
nikita khrushchev :11
nikecajun launched :11
news july :11
nearlunar space :11
near madrid :11
near edwards :11
navy navigation :11
naval weapons :11
naval ordnance :11
naugle nasa :11
nature magazine :11
natural environment :11
nas—nrc space :11
nasas project :11
nasas goddard :11
nasas gemini :11
nasas biosatellite :11
nasaaec space :11
nasa requested :11
nasa report :11
nasa published :11
nasa medal :11
nasa field :11
nasa dept :11
nasa continued :11
nasa appropriations :11
n kubasov :11
n cj :11
n c :11
mururoa atoll :11
mstislav keldysh :11
msc deputy :11
moscow press :11
months ago :11
monitor reported :11
modified boeing :11
mobile quarantine :11
mission success :11
mission results—successful :11
mission planned :11
mission commander :11
mission 511 :11
missile force :11
mineral deposits :11
milton lomask :11
million shares :11
million cut :11
military programs :11
military mission :11
military comsats :11
miles wash :11
miles north :11
microwave radiometer :11
mi apogee :11
meters meters :11
meteorological society :11
meteorological institute :11
memorial dinner :11
measure density :11
mauna kea :11
martian soil :11
mars exploration :11
mariner jupitersaturn :11
march 1982 :11
march 1981 :11
march 1965 :11
march 1962 :11
manned systems :11
manned maneuvering :11
manned launch :11
manhattan project :11
major systems :11
main chronology :11
magnetic lines :11
mach 07 :11
m2f2 lifting :11
m z :11
m truszynski :11
lunar eclipse :11
lunar crust :11
luna vii :11
luna ixs :11
luna 22 :11
lower altitudes :11
lowearth orbit :11
low deputy :11
low altitudes :11
longduration space :11
logistics support :11
lockheed propulsion :11
lingtemcovought inc :11
lines inc :11
leading edges :11
launched meteor :11
launched december :11
launched august :11
late summer :11
late 1966 :11
late 1960s :11
lasting contribution :11
landing systems :11
landing sequence :11
lake champlain :11
laboratory announced :11
knowledge gained :11
km altitude :11
km 200 :11
kennedy fla :11
justice dept :11
jupiter c :11
july 1973 :11
jr usmc :11
jr told :11
jr received :11
jr dr :11
joint research :11
joint nasa :11
joint manned :11
jim webb :11
jet airliner :11
january 1983 :11
january 1975 :11
january 1972 :11
january 1963 :11
jan 29 :11
jan 28 :11
jan 1977 :11
jan 13 :11
james ferguson :11
j2 engines :11
j evans :11
j e :11
j coughlin :11
j allen :11
j adams :11
issued requests :11
issued report :11
ira c :11
ion propulsion :11
ion densities :11
investigators working :11
investigate effects :11
interview published :11
interplanetary probes :11
international union :11
international cooperative :11
international aeronautical :11
intelligence sources :11
instrumentation laboratory :11
instrument capsule :11
initiated descent :11
initial results :11
initial increment :11
initial checkout :11
infrared images :11
informed sources :11
information available :11
industrial contractors :11
industrial base :11
including sivb :11
including nasa :11
inclina tion :11
improve performance :11
impacted moon :11
illinois institute :11
iii launch :11
icbm launched :11
hypersonic transport :11
hydrogen fuel :11
human resources :11
hudson nyt :11
hrs 51 :11
hr 7109 :11
hot spots :11
hl10 liftingbody :11
historical reference :11
helped develop :11
helen t :11
held hearings :11
heaviest payload :11
harry h :11
hampton va :11
h post :11
h allen :11
gsfc meteorology :11
gsfc engineers :11
ground observations :11
greenhouse effect :11
government agency :11
germany west :11
gerald r :11
gerald j :11
gerald d :11
george j :11
geophysics laboratory :11
geodetic survey :11
gas clouds :11
further improve :11
further analysis :11
fullscale model :11
ft deep :11
frequency band :11
frances centre :11
fossil fuels :11
foreign language :11
force maj :11
force lt :11
flying boat :11
fluid physics :11
flotation collar :11
flight version :11
flight suits :11
flight spacecraft :11
flight effective :11
flight controller :11
flight capability :11
fl engine :11
firing tests :11
final mission :11
final approval :11
fighter plane :11
fee contract :11
federal spending :11
federal laboratories :11
feb 1974 :11
feb 18 :11
f usaf :11
exposure facility :11
explorer spacecraft :11
explorer 47 :11
experiment launched :11
existing technology :11
estimated value :11
essa v :11
environmental health :11
environmental effects :11
entire nasa :11
english channel :11
engineering services :11
engineering experiments :11
engine start :11
engine developed :11
engine design :11
enable scientists :11
emilio q :11
elliptical earth :11
electronics co :11
electromagnetic waves :11
einsteins theory :11
edwin p :11
educational programs :11
economic development :11
earths natural :11
earthbased telescopes :11
earth traveling :11
earth gravity :11
earl d :11
e thornton :11
dynamic test :11
dust cloud :11
dr willard :11
dr stever :11
dr m :11
dr leo :11
dr karl :11
dr goddard :11
dr cyril :11
dr bradford :11
dr bernard :11
domestic problems :11
domestic comsats :11
dods advanced :11
dod space :11
dod probe :11
dod nasa :11
diurnal variations :11
distinguished probes :11
director bruce :11
direct measurements :11
development rd :11
design manufacture :11
design concepts :11
design competition :11
deputy chairman :11
density distribution :11
delta esmc :11
delayed launch :11
del espacio :11
defense appropriations :11
deepspace probes :11
december nasa :11
december 1979 :11
dec 26 :11
dec 25 :11
dc ceremony :11
d objective :11
d eisenhower :11
csmlm docking :11
cruise missiles :11
crimean astrophysical :11
crew continued :11
crew cabins :11
costreimbursable basis :11
cost overruns :11
cosmos ccxii :11
cooper jr :11
conventional aircraft :11
control characteristics :11
contract valued :11
continued support :11
consortium intelsat :11
conference proceedings :11
con ference :11
communications service :11
commercially available :11
commencement address :11
command control :11
comets tail :11
cometary explorer :11
college park :11
college london :11
col yuri :11
col james :11
col charles :11
cloud tops :11
cloud experiments :11
churchill re :11
china launched :11
chesapeake bay :11
chemical elements :11
charles walker :11
center managed :11
center huntsville :11
center edwards :11
centaur rocket :11
caused loss :11
carswell afb :11
carrying amateur :11
carrier rockets :11
career service :11
capt william :11
capt usn :11
capt robert :11
canoga park :11
cameras telemetry :11
california univ :11
california berkeley :11
c elms :11
c conveyed :11
c c :11
c adams :11
budget briefing :11
budget authorization :11
british broadcasting :11
brewster flat :11
braking engine :11
boston mass :11
boris petrov :11
booster malfunctioned :11
bomber force :11
boeing release :11
boeing cos :11
body temperature :11
blood cell :11
billion mi :11
bill containing :11
bill authorizing :11
bethesda md :11
berry director :11
bendix field :11
below fy :11
belgium denmark :11
basic information :11
barking sands :11
bank observatory :11
balloon launched :11
balloon carrying :11
baikonur cosmodrome :11
backup pilot :11
avwk june :11
avwk feb :11
avionics laboratory :11
aviation technology :11
available oct :11
august nasa :11
atmospheric pollution :11
atlascentaur total :11
atlantic tropical :11
astronomy experiments :11
astronauts selected :11
astronaut eva :11
astronaut applicants :11
astp mission :11
associated equipment :11
assembly line :11
arthur d :11
argo d4 :11
april 1984 :11
april 1982 :11
approved hr :11
appointed dr :11
appointed assistant :11
applications directorate :11
apparently caused :11
apollo status :11
apogeekick motor :11
ap ntt :11
antonio tex :11
annual increase :11
anno oct :11
analysis indicated :11
american meteorological :11
american federation :11
am confident :11
am baykonur :11
alfred j :11
alan shepard :11
alan m :11
alabama space :11
airline service :11
aircraft performance :11
aircraft manufacturers :11
aircraft flown :11
aircraft flights :11
aircraft built :11
air supply :11
air route :11
air museum :11
air carrier :11
aft fuselage :11
aerospace science :11
aerodynamic drag :11
aec—nasa space :11
advanced propulsion :11
advanced aircraft :11
adenosine triphosphate :11
additional tests :11
addition nasa :11
accident investigation :11
aboard uss :11
aboard apollo :11
a2 tyuratam :11
90 astronautics :11
895min period :11
889min period :11
82 astronautics :11
729 reentered :11
728° inclination :11
65 000 :11
59 days :11
56 min :11
56 million :11
53 min :11
500 miles :11
50 yrs :11
43 million :11
42 million :11
40 minutes :11
40 mi :11
40 billion :11
37 billion :11
36 astronautics :11
34 billion :11
33 min :11
31 min :11
31 july :11
300pound reentry :11
300 astronautics :11
30 april :11
28 min :11
28 dod :11
28 days :11
274 astronautics :11
27 aug :11
25th anniversary :11
252 astronautics :11
2500 kg :11
250 000 :11
25 sec :11
25 march :11
24 ussr :11
24 min :11
24 days :11
23 january :11
220 astronautics :11
22 min :11
22 aug :11
21 dec :11
200000 lbs :11
20 jan :11
20 days :11
1978 june :11
1978 july :11
1978 december :11
1975 july :11
1973 september :11
1973 march :11
1973 june :11
1973 april :11
1971 mission :11
1970 july :11
1969 october :11
1968 december :11
1967 december :11
1967 budget :11
1965 budget :11
1964 budget :11
19 dec :11
188 astronautics :11
182 astronautics :11
18 usaf :11
18 nov :11
18 mo :11
18 march :11
18 july :11
18 1965 :11
17 ussr :11
17 usaf :11
17 jan :11
17 dec :11
150 astronautics :11
15 saturn :11
15 astronaut :11
136 astronautics :11
134 astronautics :11
13 review :11
13 min :11
13 june :11
12 x :11
12 lm :11
12 hours :11
12 feb :11
12 dec :11
11 spacecraft :11
11 samples :11
11 march :11
11 hrs :11
11 feb :11
11 000 :11
1000 km :11
100 percent :11
000 workers :11
000 fixedprice :11
z d :10
youth science :10
x24b lifting :10
x15 rocket :10
x 42 :10
x 14 :10
wsmr reached :10
wpost june :10
wpost july :10
