senate committee on aeronautical and space sciences :118
be made available to world scientific community :6
base for a climatology of stratospheric ozone :6
b shepard jr edgar d mitchell and :6
at the end of the year the :6
at least can be shown by tracking :6
astronomy observatory at green bank w va :6
astronauts neil a armstrong michael collins and :6
astronauts gerald p carr dr edward g :6
astronauts david r scott alfred m worden :6
astronauts alan b shepard jr edgar d :6
astronauticsâ€™ subcommittee on advanced research and technology :6
associate administrator for manned space flight and :6
assistant administrator for technology utilization and policy :6
ascended to at least the 4000mile altitude :6
armstrong michael collins and edwin e aldrin :6
are a day later in this compilation :6
arcas sounding rocket was launched by nasa :6
appendix c â€œchronology of manned space flight :6
and would transmit soviet central tv programs :6
and pratt whitney div of united aircraft :6
and mission resultssuccessful s partially successful p :6
an asterisk by the date marks those :6
all rocket vehicles larger than sounding rockets :6
alfred rosenthal venture into space early years :6
alan b shepard jr edgar d mitchell :6
airlaunched from b52 aircraft at 45000ft altitude :6
aeronautics and space act of 1958 to :6
aerobee 150 mi sounding rocket launched from :6
adventures in research a history of the :6
administrator dr robert c seamans jr and :6
acquisition was managed by gsfc under overall :6
academy of sciences president mstislav v keldysh :6
a lovell jr and edwin e aldrin :6
a history of project mercury nasa sp4201 :6
a great deal is learned from missions :6
a goddard space flight center payload to :6
a climatology of stratospheric ozone in the :6
8 astronauts frank borman james a lovell :6
1971 independent offices and hud appropriations bill :6
1970 also washington smithsonian institution press 1971 :6
17 astronauts eugene a cernan ronald e :6
150 sounding rocket launched from wsmr reached :6
14 astronauts alan b shepard jr edgar :6
∞nasa launched a black brant vc sounding :5
∞a new york times editorial commented on :5
∞ usaf launched two unidentified satellites with :5
∞ president nixon announced intention to nominate :5
∞ nikecajun sounding rocket was launched by :5
∞ nikecajun sounding rocket launched by nasa :5
∞ nasa nikecajun sounding rocket launched from :5
∞ nasa launched two sounding rockets from :5
∞ nasa launched series of three sounding :5
∞ nasa launched niketomahawk sounding rocket from :5
∞ nasa and soviet academy of sciences :5
∞ manned spacecraft center announced award of :5
∞ m2f2 lifting body vehicle piloted by :5
∞ dr wernher von braun nasa deputy :5
∞ dr wernher von braun director of :5
∞ apollo 15 astronauts david r scott :5
∞ apollo 11 astronauts neil a armstrong :5
with scientific instruments aboard for investigation of :5
william j knight usaf flew x15 no :5
white sands missile range carrying univ of :5
were used verified when in doubt with :5
were to obtain stability and control data :5
were conducted for gca corp under contract :5
were all open ones verified where in :5
well to call attention to the terms :5
was sworn in as consultant to nasa :5
was successfully launched by nasa from wtr :5
was responsible for apollo spacecraft development msfc :5
was managed by arc under ossa direction :5
was directed by ossa lunar and planetary :5
was compiled from open sources by leonard :5
was airlaunched from b52 aircraft at 45000ft :5
walter sullivan said in new york times :5
walter m schirra jr donn f eisele :5
verified where in doubt from the project :5
vandenberg afb by titan iiibagena d booster :5
ussr from plesetsk into orbit with a :5
used were all open ones verified where :5
usaf launched unidentified satellite from wtr with :5
usaf launched unidentified satellite from wtr using :5
usaf launched two unidentified satellites with atlasagena :5
usaf launched two unidentified satellites from wtr :5
us flights are the latest available to :5
univ of new york at stony brook :5
united states and soviet progress in space :5
united nations committee on the peaceful uses :5
under the direction of the nasa office :5
two unidentified satellites with atlasagena d booster :5
transportation john a volpe announced award of :5
transition from wintertime westerly to summertime easterly :5
tracking and data acquisition gerald m truszynski :5
tracking and communications were the responsibility of :5
to the terms of reference stated or :5
to the house committee on science and :5
to senate committee on aeronautical and space :5
to place a man on the moon :5
to dr james c fletcher nasa administrator :5
to call attention to the terms of :5
this tabulation than in listings which are :5
this is a listing of payloads that :5
the white house office of science and :5
the soviet union and the united states :5
the soviet press and international news servicesâ€™ :5
the solar heating and cooling demonstration act :5
the skylab orbital workshop launched may 14 :5
the senate committee on aero nautical and :5
the office of tracking and data acquisition :5
the national aeronautics and space council said :5
the house committee on science and technology :5
the house committee on science and astro :5
the direction of the nasa office of :5
the chronology for some of the references :5
the boeing co and lockheed aircraft corp :5
the air force for research and development :5
that have succeededor at least can be :5
tests of all major pieces of apollo :5
testimony before the house committee on science :5
tabulation than in listings which are referenced :5
state univ of new york at stony :5
stability and control data at mach 11 :5
srl ∞ nasa administrator james e webb :5
special assistant to nasa administrator james e :5
spacecraft development msfc for saturn v launch :5
spacecraft and sivb combination entered parking orbit :5
space medicine in project mercury nasa sp4003 :5
space for the benefit of all mankind :5
sources were used verified when in doubt :5
sources used were all open ones verified :5
sources by leonard c bruno of the :5
sounding rockets from white sands missile range :5
sounding rocket was launched from barking sands :5
sounding rocket launched from wsmr car ried :5
situation report translations from the tass news :5
sheldon 11 chief of science policy research :5
secretary of defense william p clements jr :5
secretary of defense robert s mcnamara announced :5
scientific instruments aboard for investigation of outer :5
science and applications dr homer e newel1 :5
schirra jr donn f eisele and r :5
satellites with atlasagena d booster from wtr :5
satellite or probe or manned flightare listed :5
satellite from plesetsk into orbit with a :5
s sheldon 11 chief of science policy :5
rpt srl ∞ nasa administrator james e :5
rocket was launched from barking sands hawaii :5
rocket launched from white sands missile range :5
rocket launched by nasa from churchill re :5
rocket and instruments functioned satisfactorily and good :5
rocket and instruments func tioned satisfactorily and :5
richard f gordon jr and alan l :5
resultssuccessful s partially successful p and unsuccessful :5
resources technology satellite launched 23 july 1972 :5
report translations from the tass news agency :5
report issued by the operations control center :5
reimburse nasa for the cost of the :5
r gilruth director of nasa manned spacecraft :5
pressure density and wind data in upper :5
pressure density and wind between 2259 mi :5
president of the national academy of engineering :5
president nixon and soviet communist party general :5
prepared by leonard c bruno of the :5
pioneer 10 jupiter probe launched march 2 :5
ozone distribution in the upper atmosphere monitor :5
owen k garriott and jack r lousma :5
overall direction of nasa office of tracking :5
orbit and provide tracking and telemetry support :5
or more human beings into space whether :5
open sources were used verified when in :5
open sources by leonard c bruno of :5
open ones verified where in doubt from :5
only flights that have succeededor at least :5
ones verified where in doubt from the :5
one or more human beings into space :5
on us flights are the latest available :5
on aeronautical and space sciences favorably reported :5
of univ of california at san diego :5
of un committee on peaceful uses of :5
of transportation john a volpe announced award :5
of the office of science and technology :5
of the national academy of sciences and :5
of the far side of the moon :5
of the air force for research and :5
of satellite or probe or manned flightare :5
of payloads that have a orbited b :5
of nerva nuclear engine for rocket vehicle :5
of nasa office of tracking and data :5
of all rocket vehicles larger than sounding :5
no 3 flown by nasa pilot milton :5
nixon submitted to the senate the nomination :5
nixon and soviet communist party general secretary :5
nikecajun sounding rocket was launched by nasa :5
neil a armstrong michael collins and edwin :5
neil a armstrong and david r scott :5
necessarily arbitrary many of the results can :5
nations committee on the peaceful uses of :5
national oceanic and atmospheric administra tion and :5
nasaâ€™s hl10 liftingbody vehicle piloted by maj :5
nasa test pilot william h dana reached :5
nasa test pilot fitzhugh l fulton jr :5
nasa rpt srl ∞ nasa administrator james :5
nasa niketomahawk sounding rocket launched from churchill :5
nasa nikeapache sounding rocket launched from ft :5
nasa goddard space flight center announced selection :5
nasa from wsmr with vam20 booster carried :5
nasa from churchill re search range carried :5
nasa arcas sounding rocket was launched from :5
nasa and soviet academy of sciences had :5
msc was responsible for apollo spacecraft development :5
msc director of medical research and operations :5
msc deputy director christopher c kraft jr :5
might be well to call attention to :5
mi perigee 211 km 131 mi period :5
meteorological satellite from plesetsk into orbit with :5
marshall space flight center announced the award :5
manned spacecraft hours in flight had reached :5
manned spacecraft center director dr robert r :5
maj william j knight usaf flew x15 :5
m2f3 liftingbody vehicle piloted by nasa test :5
m2f3 lifting body piloted by william h :5
listing of payloads that have a orbited :5
link space medicine in project mercury nasa :5
liftingbody vehicle piloted by maj peter c :5
least the 4000mile altitude that traditionally has :5
launches were conducted for gca corp under :5
launched two unidentified satellites with atlasagena d :5
launched two aerobee 170 sounding rockets from :5
launched by nasa from wsmr carrying univ :5
launched by nasa from wsmr carried dudley :5
launched an aerobee 150a sounding rocket from :5
launch from b52 aircraft at 13 700m :5
later in this compilation than in listings :5
land a man on the moon by :5
l o liftingbody vehicle piloted by maj :5
km at transition from wintertime westerly to :5
keldysh president of the soviet academy of :5
jr secretary of the air force announced :5
jr donn f eisele and r walter :5
joseph p kerwin and paul j weitz :5
joint working group on space biology and :5
its four solar panels and two antennas :5
it might be well to call attention :5
issued by the operations control center at :5
is a listing of payloads that have :5
international year of the quiet sun iqsy :5
instruments functioned satisfactorily and good data were :5
instruments aboard for investigation of outer space :5
inflight tests of all major pieces of :5
in this compilation than in listings which :5
in testimony before house committee on science :5
in nasaâ€™s office of manned space flight :5
in nasa office of advanced research and :5
in listings which reference to greenwich time :5
hugh l dryden deputy administrator of nasa :5
hr 17548 fy 1971 independent offices and :5
house committee on science and astronautics published :5
house committee on science and astronautics on :5
house committee on science and astronautics held :5
house committee on science and astronautics and :5
house com mittee on science and astronauticsâ€™ :5
hl10 liftingbody vehicle piloted by maj peter :5
historical sketch of nasa nasa ep29 1965 :5
have succeededor at least can be shown :5
has been provided for payloads where vehicle :5
had received nasaâ€™s exceptional service medal for :5
had issued a request for proposals for :5
goddard space flight center announced selection of :5
gilruth director of nasa manned spacecraft center :5
general electric co and pratt whitney div :5
fy 1974 dept of housing and urban :5
from white sands missile range carrying univ :5
from vandenberg afb by titan iiibagena d :5
from open sources by leonard c bruno :5
from flight research center after airlaunch from :5
from baykonur cosmo drome into orbit with :5
from b52 aircraft at 45000ft altitude in :5
frank w anderson jr deputy nasa historian :5
fourth category unknown unk has been added :5
for tracking and data acquisition gerald m :5
for manned spacecraft hours in flight had :5
for investigation of outer space tass announced :5
flights that have succeededor at least can :5
flight from flight research center after airlaunch :5
flight after airlaunch from b52 aircraft at :5
f gordon jr and alan l bean :5
extend the data base for a climatology :5
exploration and peaceful uses of outer space :5
events of 1961 published by the house :5
edwin p hartman adventures in research a :5
edward h white 11 and roger b :5
earth resources technology satellite launched 23 july :5
dr robert c seamans jr nasa associate :5
dr owen k garriott and jack r :5
dr john e naugle nasa associate administrator :5
dr hugh l dryden deputy administrator of :5
dr gary v latham principal investigator for :5
dr frank w anderson jr deputy nasa :5
dr edward c welsh nasc executive secretary :5
double asterisk by the date marks dates :5
distribution in the upper atmosphere monitor anomalous :5
director of the white house office of :5
director of medical research and operations at :5
director of launch vehicle and propulsion programs :5
director of launch operations walter j kapryan :5
direction of nasa office of tracking and :5
directed by ossa lunar and planetary programs :5
development msfc for saturn v launch vehicle :5
deployed its four solar panels and two :5
day later in this compilation than in :5
david r scott and james b irwin :5
data on us flights are the latest :5
cotton usaf and nasa test pilot fitzhugh :5
cosmonauts andrian g nikolayev and vitaly i :5
cosmonauts aleksey a leonov and valery n :5
contract was awarded by army corps of :5
conducted for gca corp under contract to :5
conducted by nasa goddard space flight center :5
compiled from open sources by leonard c :5
communications satellite from plesetsk into orbit with :5
committee on aeronautical and space sciences favorably :5
charles s sheldon 11 chief of science :5
charles c alexander this new ocean a :5
center under the direction of the office :5
center public information releases of the department :5
category unknown unk has been added for :5
call attention to the terms of reference :5
c fletcher nasa administrator said in a :5
c alexander this new ocean a history :5
by titan iiibagena booster into orbit with :5
by the date marks dates of soviet :5
by secretary of defense robert s mcnamara :5
by ossa lunar and planetary programs div :5
by nasa from wsmr carrying univ of :5
by nasa from wsmr carried dudley observatory :5
by nasa for comsatcorp on behalf of :5
by dr homer e newell nasa associate :5
by dr charles a berry nasa director :5
braun nasa deputy associate administrator for planning :5
before house committee on science and astro :5
be well to call attention to the :5
baykonur cosmo drome into orbit with a :5
attention to the terms of reference stated :5
attended by dr james c fletcher nasa :5
at white sands missile range n mex :5
at transition from wintertime westerly to summertime :5
at nasa marshall space flight center for :5
at least the 4000mile altitude that traditionally :5
at goddard space flight center public information :5
astronauts virgil i grissom edward h white :5
astronauts thomas p stafford and eugene a :5
astronauts john w young thomas k mattingly :5
astronautics and aeronautics 19 6 3 august :5
astronautical events of 1 9 6 1 :5
asterisk by the date marks dates of :5
associate administrator for space science and applica :5
assistant to nasa administrator james e webb :5
as well as those of the communications :5
arcas sounding rocket was launched from barking :5
arbitrary many of the results can not :5
apollo spacecraft development msfc for saturn v :5
apollo program director mg samuel c phillips :5
apollo 8 astronauts frank borman james a :5
apollo 8 astronaut frank borman and family :5
apollo 11 astronauts neil a armstrong and :5
apollo 11 astronaut edwin e aldrin jr :5
and use of outer space for peaceful :5
and soviet communist party general secretary leonid :5
and sivb combination entered parking orbit with :5
and instruments functioned satisfactorily and good data :5
and former nasa associate administrator for manned :5
and charles c alexander this new ocean :5
and appendix c â€œchronology of manned space :5
ames research center 19401965 nasa sp4302 1970 :5
american science and engineering inc payload to :5
altitude to obtain ozone measurements in conjunction :5
all open ones verified where in doubt :5
alexander this new ocean a history of :5
aleksey a leonov and valery n kubasov :5
aircraft piloted by nasa test pilot thomas :5
air launch from b52 aircraft at 13 :5
air and space museum in washington dc :5
after airlaunch from b52 aircraft at 45000ft :5
aerobee 200 sounding rocket from white sands :5
administrator for tracking and data acquisition gerald :5
administrator for technology utilization and policy planning :5
administrator for space science and applica tions :5
aboard for investigation of outer space tass :5
a man on the moon by 1970 :5
a listing of payloads that have a :5
a day later in this compilation than :5
a b52 aircraft from flight research center :5
a armstrong michael collins and edwin e :5
3 in lunar orbit and 6 lunar :5
3 flown by nasa pilot milton 0 :5
200 sounding rocket from white sands missile :5
17548 fy 1971 independent offices and hud :5
16 astronauts john w young thomas k :5
150 mi sounding rocket launched from wsmr :5
1 earth resources technology satellite launched july :5
∞the energy research and development administration announced :4
∞the air force announced the award of :4
∞the air force announced award of a :4
∞president nixon submitted to the senate the :4
∞president nixon announced his intention to nominate :4
∞nikecajun sounding rocket launched by nasa from :4
∞nasa launched a nikeapache sounding rocket from :4
∞ washington daily news editorial commented on :4
∞ usaf x24a liftingbody vehicle piloted by :4
∞ usaf space and missile systems organization :4
∞ usaf launched unidentified satellite with thoragena :4
∞ usaf launched two unidentified satellites from :4
∞ usaf launched thoragena d booster from :4
∞ secretary of defense clark m clifford :4
∞ rep george p miller dcalif introduced :4
∞ president nixon in san clemente calif :4
∞ niketomahawk sounding rocket launched by nasa :4
∞ nasa launched two nikeapache sounding rockets :4
∞ nasa launched aerobee 150 sounding rocket :4
∞ nasa associate administrator for manned space :4
∞ nasa arcas sounding rocket was launched :4
∞ nasa aerobee 150 launched from wsmr :4
∞ library of congress congressional research service :4
∞ javelin sounding rocket launched by nasa :4
∞ apollo 12 astronauts charles conrad jr :4
∞ aerobee 350 sounding rocket was launched :4
zone and extending into polar cap region :4
young thomas k mattingly 11 and charles :4
young charles m duke jr and thomas :4
x15 no 3 was flown by nasa :4
wtr using titan 111b booster satellite reentered :4
wind between 2259 mi 3595 km at :4
william hines in the washington evening star :4
william h dana flew x15 no 3 :4
whitney div of united aircraft corp for :4
which appear in abbreviated form are listed :4
where vehicle malfunctions did not give the :4
when vehicle malfunctions did not give the :4
when in doubt with the project offices :4
were the responsibility of jploperated deep space :4
were prepared by leonard c bruno of :4
were ejected and detonated at programed altitudes :4
well as those of the communications satellite :4
was successfully launched from ksc launch complex :4
was successfully launched by ussr into orbit :4
was successfully launched by atlasagena d booster :4
was responsible for procurement launch and initial :4
was launched into earth orbit by ussr :4
was launched by the ussr from baykonur :4
was launched by nasa from churchill re :4
was compiled from open sources by dr :4
was awarded by army corps of engineers :4
was announced by secretary of defense melvin :4
was announced by faa administrator john h :4
was also responsible for the thordelta launch :4
w young thomas k mattingly 11 and :4
w young charles m duke jr and :4
w anderson jr and the technical editor :4
vladislav n volkov and viktor i patsayev :4
vladimir a shatalov chief of cosmonaut training :4
virgil i grissom edward h white 11 :4
virgil i grissom and john w young :4
version of nerva nuclear engine for rocket :4
verified when in doubt with the project :4
vela program to monitor space for violations :4
vehicle piloted by maj peter c hoag :4
vehicle performance and mission resultssuccessful s partially :4
vehicle and spacecraft systems performed according to :4
vc sounding rocket from white sands mis :4
vandenberg afb by titan iiibagena booster into :4
v keldysh president of the soviet academy :4
ussr launched eight cosmos satellites on a :4
ussr launched eight cosmos satellites from plesetsk :4
ussr had made no official statement since :4
ussr announced successful completion of rocket tests :4
uses of outer space meeting in geneva :4
used verified when in doubt with the :4
usaf x24a liftingbody vehicle piloted by nasa :4
usaf titan 111c booster launched from etr :4
usaf launched unidentified satellite with thoragena d :4
usaf and nasa test pilot fitzhugh fulton :4
univ of arizonaâ€™s lunar and planetary laboratory :4
united nations educational scientific and cultural organization :4
unidentified satellite with thoragena d booster from :4
unidentified satellite with atlasagena d booster from :4
unidentified satellite from wtr using titan 111b :4
unidentified satellite from vandenberg afb by thoragena :4
u a fourth category unknown unk has :4
two flights each and two had flown :4
tv channels and 30009000 telephone circuits and :4
translations from tass news agency statements in :4
tracking and data acquisition network stadan facilities :4
told the annual meeting of the american :4
to the senate committee on aeronautical and :4
to test equipment for spacecraft landings at :4
to put a man on the moon :4
to prove out design develop technology of :4
to operate out to lunar distances and :4
to msfc director dr wernher von braun :4
to mate spacecraft to launch vehicle and :4
to man the orbital workshop launched may :4
to h allen smith jet propulsion laboratory :4
to collect data on celestial xray sources :4
to classify performance of both the launch :4
throughout nasa and other federal agencies the :4
three categories have been used for vehicle :4
those references which appear in abbreviated form :4
thomas k mattingly 11 and charles m :4
this volume would be less reliable and :4
this tabulation lists payloads that have a :4
this compilation than in listings which are :4
these divisions are necessarily arbitrary many of :4
their history has been relegated to footnotes :4
their dates have been kept in sequence :4
the year the entire manuscript is reworked :4
the ussr launched eight cosmos satellites on :4
the terms of reference stated or implied :4
the technical editor was mrs carrie e :4
the table came from goddard space flight :4
the sources are listed only those that :4
the saturn ib and saturn v launch :4
the satellite situation report translations from the :4
the satellite situation report translations from tass :4
the satellite situation report governmental announcements and :4
the rocket and instrumentation per formed satisfactorily :4
the rocket and instrumen tation performed satisfactorily :4
the refer ences cited are not abbreviated :4
the purpose of the mission was to :4
the purpose of the flight was to :4
the president of the united states united :4
the peaceful uses of outer space meeting :4
the partnership a history of the apollosoyuz :4
the outer reaches of the solar system :4
the national aero nautics and space council :4
the national academy of sciences and the :4
the nasa office of manned space flight :4
the house subcommittee on space science and :4
the gen thomas d white space trophy :4
the first decade of the space age :4
the fact that a great deal was :4
the exploration and use of outer space :4
the energy research and development administration and :4
the eastern test range on a delta :4
the direction of the office of applications :4
the department of defense nasa and other :4
the date marks dates that are one :4
the date marks dates of soviet launches :4
the content of this volume would be :4
the chronology for some of the refer :4
the american inst of aeronautics and astronautics :4
the air force launched an unidentified satellite :4
the air force announced the award of :4
the aerospace industries assn of america inc :4
that did not operate because of vehicle :4
that appear in abbreviated form are listed :4
tf8a jet aircraft piloted by nasa test :4
tf8a aircraft equipped with supercritical wing and :4
testified before the house committee on science :4
testified before senate committee on aeronautical and :4
test project mission scheduled for july 1975 :4
test equipment for spacecraft landings at sea :4
terms of reference stated or implied in :4
temperature pressure density and wind data between :4
technology in the exploration of space 19151960 :4
tabulation lists payloads that have a orbited :4
table came from goddard space flight centerâ€™s :4
t dobrovolsky vladislav n volkov and viktor :4
swenson james m grimwood and charles c :4
sullivan reported in the new york times :4
successfully launched by ussr into orbit with :4
successfully launched by nasa from wtr by :4
successfully launched by atlasagena d booster from :4
successful completing inflight tests of all major :4
suborbital 20 in earth orbit 3 in :4
subcommittee on space science and applications of :4
subcommittee on applications and tracking and data :4
stated or implied in the title of :4
stage fired to boost 850lb spacecraft into :4
spacecraft center director dr robert r gilruth :4
space technology laboratories bay st louis miss :4
space law treaty see dec 8 19661 :4
space center announced the award of a :4
soviet press and international news servicesâ€™ reports :4
sources are listed only those that are :4
sounding rocket launched from wsmr carried gsfc :4
sounding rocket launched from white sands missile :4
sounding rocket launched from wallops station carried :4
sounding rocket launched from wallops island va :4
sounding rocket launched from nasa wal lops :4
sounding rocket launched by nasa from wal :4
sounding rocket launched by nasa from kiruna :4
sounding rocket launched by nasa from ft :4
sounding rocket from white sands n mex :4
sounding rocket from churchill research range carrying :4
sounding rocket data sheets issued after launches :4
some of the references cited are not :4
some of the refer ences cited are :4
sketch of nasa nasa ep29 1965 and :4
situation report translations from tass news agency :4
situation report issued by the operations control :4
silverstein director of nasa lewis research center :4
sequence but their history has been relegated :4
senate com mittee on aeronautical and space :4
sen clinton p anderson chairman of senate :4
secretary of the air force for rd :4
science foundation director dr h guyford stever :4
science and technology in the exploration of :4
science and astronauticsâ€™ subcommittee on science research :4
science and applications dr homer e newell :4
saturn i saturn ib and saturn v :4
satisfactorily but scientific objectives were not met :4
satisfactorily and payload was recovered as planned :4
satellites on a single booster from plesetsk :4
satellites from vandenberg afb by thoragena booster :4
satellite with thoragena d booster from wtr :4
satellite tracking and data acquisition network stadan :4
satellite to be launched by nasa in :4
satellite situation report translations from the tass :4
satellite situation report translations from tass news :4
satellite situation report issued by the operations :4
satellite launched by nasa july 23 1972 :4
satellite in essaâ€™s tiros operational satellite tos :4
satellite from wtr using titan 111b booster :4
s swenson james m grimwood and charles :4
s partially successful p and unsuccessful u :4
s ichtiaque rasool deputy director of planetary :4
s foster jr director of defense research :4
s for successful p for partially successful :4
roy p jackson nasa associate administrator for :4
rocketdyne div of north american aviation inc :4
rocket performed satisfactorily but scientific objectives were :4
rocket launched from point barrow alaska carried :4
rocket launched from nasa wal lops station :4
rocket launched from churchill research range reached :4
rocket launched by nasa from wal lops :4
rocket launched by nasa from kiruna sweden :4
rocket data sheets issued after launches with :4
rocket and instrumentation performed satisfactorily gsfc proj :4
responsible for procurement launch and initial checkout :4
research pilot school at edwards afb calif :4
research center issued requests for proposals for :4
research center after airlaunch from b52 aircraft :4
report translations from tass news agency statements :4
registry the satellite situation report governmental announcements :4
references which appear in abbreviated form are :4
references that appear in abbreviated form are :4
reference stated or implied in the title :4
received nasaâ€™s distinguished service medal for his :4
reached 19 800m 65 000ft altitude and :4
rasool deputy director of planetary programs in :4
range carrying a goddard space flight center :4
public registry the satellite situation report governmental :4
provided for payloads where vehicle malfunctions did :4
provided by nasa goddard space flight center :4
prove out design develop technology of lunar :4
project was managed by goddard space flight :4
programs in nasa office of space science :4
program was managed by goddard space flight :4
program to monitor space for violations of :4
primary nasa objective was to place spacecraft :4
primary nasa mission objectives were to place :4
president of the united states united states :4
president of the national academy of sciences :4
poker flat rocket range fairbanks alaska carrying :4
planned orbit and provide tracking and telemetry :4
planetary laboratory of the univ of arizona :4
piloted by test pilot thomas c mcmurtry :4
personnel necessary to mate spacecraft to launch :4
performed satisfactorily but scientific objectives were not :4
performed according to plan with only minor :4
performance and mission resultssuccessful s partially successful :4
payloads where vehicle malfunctions did not give :4
payloads that did not operate because of :4
partnership a history of the apollosoyuz test :4
participated in two flights each and two :4
p anderson chairman of senate committee on :4
out design develop technology of lunar softlanding :4
other federal agencies the content of this :4
or implied in the title of this :4
only those references which appear in abbreviated :4
only references that appear in abbreviated form :4
on wind temperature pressure and density in :4
on the sun and the star canopus :4
on tf8a jet aircraft piloted by nasa :4
on science and astronauticsâ€™ subcommittee on science :4
on moon on board luna 17 nov :4
on moon by luna 17 nov 17 :4
on exploration and peaceful uses of outer :4
on applications and tracking and data acquisition :4
on aeronautical and space sciences said in :4
office of industry affairs and technology utilization :4
of un committee on the peaceful uses :4
of this volume would be less reliable :4
of the year the entire manuscript is :4
of the white house office of science :4
of the senate aeronautical and space sciences :4
of the references cited are not abbreviated :4
of the refer ences cited are not :4
of the office of tracking and data :4
of the national oceanic and atmospheric administration :4
of the national aeronautics and space act :4
of the national aero nautics and space :4
of the nasa office of space science :4
of the house com mittee on science :4
of the global atmospheric research program garp :4
of the energy research and development administration :4
of the department of defense nasa and :4
of the committee on science and astronautics :4
of the american inst of aeronautics and :4
of the american association for the advancement :4
of senate committee on aero nautical and :4
of science technology and policy annual volumes :4
of science and technology in the exploration :4
of saturn ib and saturn v launch :4
of referencesâ€ was prepared by mrs brocksmith :4
of reference stated or implied in the :4
of neutral and ionized barium clouds during :4
of nasa office of manned space flight :4
of nasa nasa ep29 1965 and 1966 :4
of nasa marshall space flight center said :4
of launch operations walter j kapryan said :4
of house commit tee on science and :4
of flight crew operations donald k slayton :4
of federal council for science and technology :4
of defense nasa essa and other agencies :4
of defense nasa and other agencies and :4
of congress under an exchange of funds :4
objectives were to expand flight envelope to :4
nuclear rocket development station jackass flats nev :4
nov 9 1967 and apollo 5 launched :4
not take into account that u missions :4
not all the sources are listed only :4
north american aviations space and information systems :4
nimbus 4 satellite launched april 8 1970 :4
niketomahawk sounding rocket launched from nasa wallops :4
niketomahawk sounding rocket launched from churchill research :4
niketomahawk sounding rocket from andoeya norway carrying :4
nikeapache sounding rockets from nasa wallops station :4
nikeapache sounding rocket was launched from wallops :4
nikeapache sounding rocket launched from wallops island :4
nikeapache sounding rocket launched from churchill research :4
new york times editorial commented on the :4
negotiations leading to award of a contract :4
necessary to mate spacecraft to launch vehicle :4
nearearth space the moon and the planets :4
national science foundation director dr h guyford :4
national radio astronomy observatory at green bank :4
national academy of sciences and the national :4
nasaâ€™s office of aeronautics and space technology :4
nasaâ€™s m2f3 liftingbody vehicle piloted by nasa :4
nasa supercritical wing flown on tf8a jet :4
nasa sounding rocket launches are published annually :4
nasa office of aeronautics and space technology :4
nasa objective was to place spacecraft into :4
nasa niketomahawk sounding rocket launched from nasa :4
nasa nikeapache sounding rocket was launched from :4
nasa nikeapache sounding rocket launched from churchill :4
nasa launched two nikeapache sounding rockets from :4
nasa launched an aerobee 150a sounding rocket :4
nasa issued apollo status summary apollo 7 :4
nasa from wsmr carried dudley observatory payload :4
nasa from churchill re search range carrying :4
nasa for comsatcorp on behalf of international :4
nasa essa and other agencies as well :4
nasa director of biotechnology and human research :4
nasa deputy associate administrator for space science :4
nasa associate administrator for advanced re search :4
nasa and soviet academy of sciences joint :4
nasa and other federal agencies the content :4
nasa and aec at nuclear rocket development :4
nasa aerobee 150 mi sounding rocket launched :4
nasa aerobee 150 launched from wsmr reached :4
msfc director dr wernher von braun and :4
msc director of medical research and opera :4
moss dutah chairman of the senate committee :4
more human beings into space whether orbit :4
moon by luna 17 nov 17 1970 :4
moon and return him safely to earth :4
monitoring the arabisraeli war see oct 151 :4
mittee on science and astronauticsâ€™ subcommittee on :4
mi 3595 km at transition from wintertime :4
members of the house committee on science :4
meeting of the american association for the :4
medicine in project mercury nasa sp4003 1965 :4
mcdivitt maj usaf and edward h white :4
mattingly 11 and charles m duke jr :4
marks dates of soviet launches which are :4
mariner 9 launched by nasa may 30 :4
manager of aecnasa space nuclear propulsion office :4
man the orbital workshop launched may 14 :4
man on the moon in this decade :4
maj gen vladimir a shatalov chief of :4
made to classify performance of both the :4
mac c adams nasa associate administrator for :4
m low nasa deputy administrator said in :4
m emme ed history of rocket technology :4
m dickson library of congress history of :4
lunar and planetary laboratory of the univ :4
loyd s swenson james m grimwood and :4
lovell jr fred w haise jr and :4
live and work in space for extended :4
lists payloads that have a orbited b :4
leonard c bruno with robert l rosholt :4
launchings of all rocket vehicles larger than :4
launched unidentified satellite with thoragena d booster :4
launched nov 9 1967 and apollo 5 :4
launched jan 22 1968 had both been :4
launched from wsmr carried gsfc instrumented payload :4
launched either by nasa or under â€œnasa :4
launched eight cosmos satellites on a single :4
launched by nasa from wsmr carried gsfc :4
launched by nasa from wallops station carrying :4
launched by nasa from wallops sta tion :4
launched by nasa from wal lops station :4
launched by nasa for comsatcorp on behalf :4
launched by atlasagena d booster from etr :4
launched an aerobee 200 sounding rocket from :4
launched an aerobee 170 sounding rocket from :4
launch was first in series of four :4
launch vehicle and spacecraft systems performed according :4
landed on moon by luna 17 nov :4
l bean dr owen k garriott and :4
kept in sequence but their history has :4
katherine m dickson library of congress history :4
k mattingly 11 and charles m duke :4
jr and the technical editor was mrs :4
john w young thomas k mattingly 11 :4
john w young charles m duke jr :4
john w young and eugene a cernan :4
john s foster jr director of defense :4
jet aircraft piloted by nasa test pilot :4
jan 22 1968 had both been highly :4
james a mcdivitt david r scott and :4
it includes launchings of all rocket vehicles :4
